"Density","Enthalpy","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Thermal_Conductivity","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,-11.163,321.67,0,4.4389e-07,-5.175e-05,-0.0001035,0.00080188,0,0,1,0.00019832,0,0,0,0,1,0,0.3,0,0
1,-11.163,321.67,0,4.4389e-07,-5.1747e-05,-0.00010349,0,0,0,1,0.00019832,0.0045162,1.8747e-08,0,0,1,5e-06,0.3,5e-06,0
1,-11.163,321.67,0,4.4389e-07,-5.1744e-05,-0.00010349,0,0,0,1,0.00019832,0.0090324,7.5528e-08,0,0,1,1e-05,0.3,1e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1741e-05,-0.00010348,0,0,0,1,0.00019832,0.013549,1.6987e-07,0,0,1,1.5e-05,0.3,1.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1738e-05,-0.00010348,0,0,0,1,0.00019832,0.018065,2.9997e-07,0,0,1,2e-05,0.3,2e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1735e-05,-0.00010347,0,0,0,1,0.00019832,0.022581,4.709e-07,0,0,1,2.5e-05,0.3,2.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1732e-05,-0.00010346,0,0,0,1,0.00019832,0.027097,6.7778e-07,0,0,1,3e-05,0.3,3e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.173e-05,-0.00010346,0,0,0,1,0.00019832,0.031613,9.1849e-07,0,0,1,3.5e-05,0.3,3.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1727e-05,-0.00010345,0,0,0,1,0.00019832,0.036129,1.204e-06,0,0,1,4e-05,0.3,4e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1725e-05,-0.00010345,0,0,0,1,0.00019832,0.040646,1.5281e-06,0,0,1,4.5e-05,0.3,4.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1723e-05,-0.00010345,0,0,0,1,0.00019832,0.045162,1.8717e-06,0,0,1,5e-05,0.3,5e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1721e-05,-0.00010344,0,0,0,1,0.00019832,0.049678,2.2828e-06,0,0,1,5.5e-05,0.3,5.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1719e-05,-0.00010344,0,0,0,1,0.00019832,0.054193,2.6961e-06,0,0,1,6e-05,0.3,6e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1717e-05,-0.00010343,0,0,0,1,0.00019832,0.058709,3.1878e-06,0,0,1,6.5e-05,0.3,6.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1716e-05,-0.00010343,0,0,0,1,0.00019832,0.063225,3.6846e-06,0,0,1,7e-05,0.3,7e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1714e-05,-0.00010343,0,0,0,1,0.00019832,0.06774,4.2316e-06,0,0,1,7.5e-05,0.3,7.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1713e-05,-0.00010343,0,0,0,1,0.00019832,0.072255,4.8287e-06,0,0,1,8e-05,0.3,8e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1711e-05,-0.00010342,0,0,0,1,0.00019832,0.076771,5.4259e-06,0,0,1,8.5e-05,0.3,8.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.171e-05,-0.00010342,0,0,0,1,0.00019832,0.081285,6.0921e-06,0,0,1,9e-05,0.3,9e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1709e-05,-0.00010342,0,0,0,1,0.00019832,0.0858,6.8094e-06,0,0,1,9.5e-05,0.3,9.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-5.1708e-05,-0.00010342,0,0,0,1,0.00019832,0.090314,7.5268e-06,0,0,1,0.0001,0.3,0.0001,0
1,-11.163,321.67,0,4.4389e-07,-5.1707e-05,-0.00010341,0,0,0,1,0.00019832,0.094828,8.2534e-06,0,0,1,0.000105,0.3,0.000105,0
1,-11.163,321.67,0,4.4389e-07,-5.1706e-05,-0.00010341,0,0,0,1,0.00019832,0.099341,9.1149e-06,0,0,1,0.00011,0.3,0.00011,0
