"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[h]"     
          0,           0,           0,      -24.06565384,      -24.06565384,               -32,      -18.19331708
          0,           0,           1,      -9.087740655,      -2.385404118,      -9.070706838,      -8.039945465
          0,           0,           2,      -8.877894872,      -2.849834321,      -9.151928762,      -7.830099682
          0,           0,           3,      -8.674835059,      -3.282496768,       -8.94726621,      -7.627039869
          0,           0,           4,      -8.481848631,      -3.652155936,      -8.707181865,      -7.434053442
          0,           0,           5,      -8.213098293,      -4.004072552,      -8.239595158,      -7.165303103
          0,           0,           6,      -7.878755782,       -4.37897963,       -7.77142849,      -6.830960592
          0,           0,           7,      -7.549573108,      -4.811220428,      -7.359113591,      -6.501777918
          0,           0,           8,      -7.236918449,       -5.31766435,      -7.002543424,       -6.18912326
          0,           0,           9,      -6.921213722,      -5.840334668,      -6.657524042,      -5.873418533
          0,           0,          10,      -6.635000164,      -6.232416617,      -6.355169565,      -5.587204974
          0,           0,          11,      -6.462274739,      -6.386921096,      -6.171691958,       -5.41447955
          0,           0,          12,      -6.435142591,      -6.432114738,      -6.132171938,      -5.387347401
          0,           0,          13,      -6.535503804,      -6.546819274,      -6.213197203,      -5.487708615
          0,           0,          14,      -6.667226689,      -6.659417431,      -6.312820177,      -5.619431499
          0,           0,          15,      -6.715512423,      -6.671819979,      -6.342516792,      -5.667717233
          0,           0,          16,      -6.719496018,      -6.665277245,      -6.344831256,      -5.671700829
          0,           0,          17,      -6.727101367,      -6.674687545,      -6.354438139,      -5.679306178
          0,           0,          18,      -6.748814676,      -6.696749196,      -6.378904635,      -5.701019486
          0,           0,          19,       -6.77950741,      -6.725647998,       -6.41223623,       -5.73171222
          0,           0,          20,      -6.815396529,       -6.76012619,      -6.449879494,       -5.76760134
          0,           0,          21,       -6.85596098,      -6.801033012,       -6.49109652,       -5.80816579
          0,           0,          22,      -6.902097555,      -6.849164311,      -6.536849331,      -5.854302365
          0,           0,          23,      -6.954388965,      -6.904393105,      -6.587902115,      -5.906593776
          0,           0,          24,      -7.013131592,      -6.966147008,      -6.644731218,      -5.965336403
          0,           0,          25,      -7.078404362,      -7.033664205,      -6.707596266,      -6.030609172
          0,           0,          26,      -7.149925045,      -7.105796154,      -6.776448414,      -6.102129856
          0,           0,          27,      -7.227443636,      -7.181223982,      -6.851309401,      -6.179648447
          0,           0,          28,      -7.310842097,      -7.258495421,      -6.932315826,      -6.263046908
          0,           0,          29,      -7.399892524,      -7.335953603,      -7.019499226,      -6.352097335
          0,           0,          30,      -7.494094152,      -7.411842696,       -7.11266854,      -6.446298962
          0,           0,          31,       -7.59237079,      -7.484651209,      -7.211219458,      -6.544575601
          0,           0,          32,      -7.692513112,      -7.553380857,      -7.313654362,      -6.644717922
          0,           0,          33,      -7.790641995,      -7.617017808,      -7.416999625,      -6.742846805
          0,           0,          34,      -7.881094406,      -7.676009803,      -7.516088135,      -6.833299216
          0,           0,          35,      -7.957515455,      -7.731188696,      -7.603565209,      -6.909720265
          0,           0,          36,       -8.01586692,      -7.782828837,      -7.672328866,       -6.96807173
          0,           0,          37,      -8.057051205,      -7.831939561,       -7.72007029,      -7.009256015
          0,           0,          38,      -8.086307827,      -7.879056516,      -7.751187761,      -7.038512638
