"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,   "mdot_outlet"  
          0,           0,           0,      -0.410494402,      -465.5983326
          0,           0,           1,      -1.057349806,      -349.5379455
          0,           0,           2,     -0.8150562427,      -324.3784064
          0,           0,           3,     -0.9066376569,      -324.1349992
          0,           0,           4,     -0.5982517738,      -323.5680636
          0,           0,           5,      -1.162650423,      -323.7167741
          0,           0,           6,        -1.3158994,      -324.2083374
          0,           0,           7,      -1.361829901,      -323.9574068
          0,           0,           8,      -1.360849158,       -323.363207
          0,           0,           9,      -1.342538351,      -322.3841899
          0,           0,          10,      -1.394570215,      -321.5713665
          0,           0,          11,      -1.443645229,      -320.6736476
          0,           0,          12,      -1.474300618,      -320.2451684
          0,           0,          13,      -1.476239488,      -320.5651511
          0,           0,          14,        -1.4991781,      -321.4572802
          0,           0,          15,      -1.498801544,      -322.7050901
          0,           0,          16,      -1.480324052,      -323.7085074
          0,           0,          17,       -1.47901273,      -324.6205211
          0,           0,          18,      -1.469406859,      -325.4204632
          0,           0,          19,      -1.484166424,      -326.5250367
          0,           0,          20,      -1.486373255,      -327.4785076
          0,           0,          21,     -0.9693784655,      -327.9006709
          0,           0,          22,     -0.6526868678,      -328.3405382
          0,           0,          23,      -0.339210602,      -328.2059951
          0,           0,          24,     -0.2834334644,      -327.7153452
          0,           0,          25,     -0.3227576809,      -328.0382091
          0,           0,          26,      -0.358013543,      -328.1536083
          0,           0,          27,     -0.2959723074,      -328.5282872
          0,           0,          28,     -0.2729582429,      -328.1655191
          0,           0,          29,     -0.2898240731,      -327.6599325
          0,           0,          30,      -0.305205397,      -327.2644079
          0,           0,          31,     -0.3344856259,      -326.2319476
          0,           0,          32,     -0.5200853155,      -326.4250316
          0,           0,          33,      -0.638605908,      -325.8510699
          0,           0,          34,     -0.8108287334,       -324.873796
          0,           0,          35,      -1.135007941,      -324.0132213
          0,           0,          36,      -1.307657695,      -323.2614922
          0,           0,          37,      -1.244487497,       -322.921955
          0,           0,          38,      -1.347875882,      -322.8570707
          0,           0,          39,      -1.433206768,      -323.3444519
          0,           0,          40,      -1.435282649,       -323.723581
          0,           0,          41,         -1.461538,      -324.5076028
          0,           0,          42,      -1.449615449,      -324.8051079
          0,           0,          43,      -1.456912827,      -324.9052669
          0,           0,          44,      -1.446168184,      -325.2930232
          0,           0,          45,      -1.469574757,      -325.4210145
          0,           0,          46,      -1.480315359,      -325.4111127
          0,           0,          47,      -1.480631101,      -325.5322278
          0,           0,          48,      -1.507488896,      -325.6683541
          0,           0,          49,      -1.574852634,      -325.6675952
          0,           0,          50,      -1.727877956,      -325.5879314
          0,           0,          51,      -1.600698065,      -325.5428232
          0,           0,          52,      -1.371454181,      -325.5535017
          0,           0,          53,      -1.324282252,      -325.5675779
          0,           0,          54,      -1.329601047,      -325.5638351
          0,           0,          55,      -1.390429485,      -325.5743633
          0,           0,          56,       -1.45468595,       -325.618009
          0,           0,          57,      -1.495949628,      -325.6747235
          0,           0,          58,      -1.445293921,      -325.7372119
          0,           0,          59,      -1.258860328,      -325.7999952
          0,           0,          60,      -1.165188353,      -325.8572464
          0,           0,          61,      -1.098621544,      -325.8983562
          0,           0,          62,      -1.081376825,       -325.943998
          0,           0,          63,      -1.094639557,       -326.002948
          0,           0,          64,      -1.084767407,      -326.1784477
          0,           0,          65,     -0.9113565719,      -326.2256053
          0,           0,          66,     -0.8858459535,      -326.0379986
          0,           0,          67,     -0.8799950565,      -326.0764146
          0,           0,          68,     -0.8913613064,      -326.1236986
          0,           0,          69,      -0.834303085,      -326.2118805
          0,           0,          70,     -0.8290438781,      -326.2840307
          0,           0,          71,     -0.7534738499,      -326.2821585
          0,           0,          72,      -0.748477929,      -326.3754455
          0,           0,          73,     -0.6449261143,      -326.3557863
          0,           0,          74,     -0.5691826403,      -326.1789175
          0,           0,          75,     -0.6181410118,      -326.1925609
          0,           0,          76,     -0.7451647439,      -326.2574532
