"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,   "mdot_outlet"  
          0,           0,           0,     -0.5193375549,      -496.5417071
          0,           0,           1,      -1.190382388,      -383.3133243
          0,           0,           2,     -0.6800529247,      -326.5956366
          0,           0,           3,     -0.8143594687,      -320.7897862
          0,           0,           4,      -1.345010806,      -320.6329116
          0,           0,           5,      -1.481233645,      -321.8614522
          0,           0,           6,      -1.548014483,      -322.3130598
          0,           0,           7,      -1.557333024,      -322.5226797
          0,           0,           8,      -1.559050607,      -321.7969004
          0,           0,           9,      -1.619785581,      -321.0365217
          0,           0,          10,      -1.681524413,       -320.611703
          0,           0,          11,      -1.714362537,        -320.51474
          0,           0,          12,      -1.725961361,      -320.5595074
          0,           0,          13,      -1.753610171,      -321.5423432
          0,           0,          14,      -1.760783318,       -322.997253
          0,           0,          15,      -1.759235985,       -324.475597
          0,           0,          16,        -1.7475287,      -325.7481801
          0,           0,          17,      -1.748901246,       -326.753641
          0,           0,          18,      -1.741714481,      -327.2539888
          0,           0,          19,     -0.9437352728,      -327.5912629
          0,           0,          20,      -0.803107842,      -327.8611056
          0,           0,          21,     -0.6436769196,      -327.3352584
          0,           0,          22,     -0.5998454317,      -326.8530471
          0,           0,          23,     -0.6339380124,      -326.5271118
          0,           0,          24,     -0.7929310472,      -326.4563165
          0,           0,          25,     -0.9263281025,      -326.2083553
          0,           0,          26,     -0.9676673452,      -325.8365418
          0,           0,          27,      -1.021003545,      -325.5193158
          0,           0,          28,      -1.195605692,      -325.4205359
          0,           0,          29,      -1.435783028,      -325.4993983
          0,           0,          30,      -1.659589068,      -325.6829955
          0,           0,          31,      -1.790657649,       -325.838137
          0,           0,          32,      -1.852620519,      -325.9359632
          0,           0,          33,      -1.735426533,      -325.9762455
          0,           0,          34,      -1.372517022,      -325.9348032
          0,           0,          35,      -1.331029801,      -325.8790986
          0,           0,          36,      -1.291925085,      -325.8364048
          0,           0,          37,      -1.293958393,      -325.8297914
          0,           0,          38,      -1.332373617,      -325.7327093
          0,           0,          39,      -1.377228843,      -325.6698639
          0,           0,          40,      -1.386188408,      -325.7207891
          0,           0,          41,      -1.454848798,      -325.7453284
          0,           0,          42,       -1.40076794,        -325.75151
          0,           0,          43,      -1.317065664,      -325.7569528
          0,           0,          44,      -1.288280937,      -325.7374311
          0,           0,          45,       -1.30058445,      -325.6967504
          0,           0,          46,      -1.330774995,      -325.6476547
          0,           0,          47,      -1.387651147,      -325.6460888
          0,           0,          48,      -1.498868401,      -325.6633033
          0,           0,          49,      -1.619410707,      -325.6678223
          0,           0,          50,      -1.710296756,      -325.6644466
          0,           0,          51,      -1.780417843,      -325.6564958
          0,           0,          52,        -1.8127236,      -325.6394712
          0,           0,          53,      -1.836271404,      -325.6120324
          0,           0,          54,      -1.877688949,      -325.5775472
          0,           0,          55,      -1.983432585,      -325.5499175
          0,           0,          56,      -2.190851692,      -325.5361587
          0,           0,          57,      -2.396282215,      -325.5368713
          0,           0,          58,      -2.195546194,      -325.5455367
          0,           0,          59,      -2.043787642,      -325.5574032
          0,           0,          60,      -2.000852898,      -325.5726282
          0,           0,          61,      -2.010873844,      -325.5941179
          0,           0,          62,      -2.052244662,      -325.6290059
          0,           0,          63,      -2.129849951,      -325.6759556
          0,           0,          64,      -2.251258925,      -325.7161455
          0,           0,          65,      -2.403086257,       -325.745893
          0,           0,          66,      -2.162008577,      -325.7706949
          0,           0,          67,      -1.776260787,      -325.7915386
          0,           0,          68,      -1.399430315,      -325.8077638
          0,           0,          69,       -1.31718104,      -325.8065905
          0,           0,          70,      -1.292985452,       -325.795015
          0,           0,          71,      -1.332739794,      -325.7858804
          0,           0,          72,      -1.342277323,      -325.7902805
          0,           0,          73,      -1.356645656,      -325.8123337
          0,           0,          74,      -1.342876203,      -325.8144754
          0,           0,          75,      -1.325849924,      -325.7612211
          0,           0,          76,      -1.309260762,      -325.6914606
          0,           0,          77,      -1.375437897,      -325.6271794
          0,           0,          78,      -1.463626145,      -325.6360686
          0,           0,          79,      -1.629896906,      -325.6678175
          0,           0,          80,      -1.795440477,      -325.7263796
          0,           0,          81,      -1.925746463,      -325.7799612
          0,           0,          82,      -1.922903208,      -325.8128296
          0,           0,          83,       -1.66702165,      -325.8182442
          0,           0,          84,      -1.377037696,      -325.8219909
          0,           0,          85,      -1.320126807,      -325.8373662
          0,           0,          86,      -1.318377511,      -325.8690571
          0,           0,          87,      -1.356151463,      -325.8243053
          0,           0,          88,      -1.336020658,      -325.7299737
          0,           0,          89,      -1.341940424,      -325.6851481
          0,           0,          90,       -1.33340179,      -325.6795856
          0,           0,          91,        -1.4166476,      -325.6652567
          0,           0,          92,      -1.551663375,      -325.6571456
          0,           0,          93,      -1.724134781,       -325.664066
          0,           0,          94,      -1.891638156,      -325.6855223
          0,           0,          95,      -2.032246144,      -325.7101723
          0,           0,          96,      -2.105042073,      -325.7187024
          0,           0,          97,      -2.068155432,       -325.712655
          0,           0,          98,      -1.947502751,      -325.7029788
          0,           0,          99,      -1.848027097,      -325.6896502
          0,           0,         100,      -1.798542633,      -325.6760748
          0,           0,         101,      -1.811526002,      -325.6623427
          0,           0,         102,      -1.850645696,       -325.653915
          0,           0,         103,      -1.926778855,      -325.6512566
          0,           0,         104,        -2.0438717,       -325.649087
          0,           0,         105,      -2.179562066,      -325.6491601
          0,           0,         106,      -2.313297985,      -325.6494117
          0,           0,         107,      -2.436791761,      -325.6472147
          0,           0,         108,      -2.550946091,      -325.6448985
          0,           0,         109,      -2.651763536,       -325.642634
          0,           0,         110,      -2.749306825,      -325.6406673
          0,           0,         111,      -2.849978409,      -325.6376712
          0,           0,         112,      -2.961206027,      -325.6333099
