"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,   "mdot_outlet"  
          0,           0,           0,      0.3065074449,      -1718.123014
          0,           0,           1,     -0.6520456342,      -1428.636987
          0,           0,           2,     -0.9488786681,      -1410.590952
          0,           0,           3,      -1.068257113,      -1405.139341
          0,           0,           4,      -1.179997396,       -1403.01876
          0,           0,           5,      -1.285852997,      -1401.298077
          0,           0,           6,      -1.381322699,      -1399.882792
          0,           0,           7,      -1.470737108,      -1398.816373
          0,           0,           8,      -1.559222608,      -1398.039057
          0,           0,           9,       -1.64137639,       -1397.47059
          0,           0,          10,      -1.727392554,       -1397.04742
          0,           0,          11,      -1.814831501,      -1396.749134
          0,           0,          12,      -1.898437173,      -1396.588399
          0,           0,          13,      -1.982571142,      -1396.553399
          0,           0,          14,       -2.06182706,      -1396.538537
          0,           0,          15,      -2.139683328,       -1396.53098
          0,           0,          16,      -2.213044545,      -1396.494915
          0,           0,          17,      -2.280760075,      -1396.422116
          0,           0,          18,      -2.345718134,      -1396.318338
          0,           0,          19,      -2.406850779,      -1396.209681
          0,           0,          20,      -2.465329334,      -1396.115125
          0,           0,          21,      -2.519433795,      -1396.037334
          0,           0,          22,      -2.572165728,       -1395.98351
          0,           0,          23,      -2.617321483,      -1395.941962
          0,           0,          24,      -2.656688674,      -1395.910872
          0,           0,          25,      -2.690097717,      -1395.883927
          0,           0,          26,      -2.725963807,      -1395.864886
          0,           0,          27,      -2.764302645,      -1395.853938
          0,           0,          28,      -2.798312223,      -1395.848752
          0,           0,          29,      -2.829985175,      -1395.851042
          0,           0,          30,      -2.861343615,      -1395.857297
          0,           0,          31,      -2.887810425,      -1395.860974
          0,           0,          32,      -2.920225813,      -1395.866166
          0,           0,          33,       -2.95344336,      -1395.869871
          0,           0,          34,      -2.983431934,      -1395.874019
          0,           0,          35,      -3.007878118,      -1395.876786
          0,           0,          36,      -3.034970955,      -1395.879086
          0,           0,          37,      -3.065639238,      -1395.881687
          0,           0,          38,      -3.106493848,      -1395.886213
          0,           0,          39,      -3.137655275,       -1395.88778
          0,           0,          40,      -3.163021647,      -1395.890172
          0,           0,          41,      -3.184365534,      -1395.891311
          0,           0,          42,       -3.20756253,      -1395.892948
          0,           0,          43,       -3.23509516,      -1395.893518
          0,           0,          44,      -3.258665484,      -1395.893463
          0,           0,          45,      -3.282009209,      -1395.893702
          0,           0,          46,      -3.305824342,      -1395.894229
          0,           0,          47,      -3.329339819,      -1395.894133
          0,           0,          48,      -3.348555092,      -1395.894037
          0,           0,          49,       -3.36599679,      -1395.893989
          0,           0,          50,      -3.384427003,      -1395.894068
          0,           0,          51,      -3.404540315,      -1395.894776
          0,           0,          52,      -3.424884364,      -1395.895177
          0,           0,          53,      -3.445867761,      -1395.895448
          0,           0,          54,      -3.471566641,      -1395.896246
          0,           0,          55,      -3.506211709,      -1395.897855
          0,           0,          56,      -3.526580535,      -1395.898945
          0,           0,          57,      -3.539270072,      -1395.900133
          0,           0,          58,      -3.550353617,      -1395.901299
          0,           0,          59,      -3.562165817,      -1395.902453
          0,           0,          60,        -3.5749618,      -1395.903781
          0,           0,          61,      -3.587216769,      -1395.904929
          0,           0,          62,       -3.59825843,       -1395.90577
          0,           0,          63,      -3.612099855,      -1395.906812
          0,           0,          64,      -3.625383413,      -1395.907702
          0,           0,          65,      -3.638754885,      -1395.908546
          0,           0,          66,       -3.65254237,      -1395.909367
          0,           0,          67,      -3.671879046,      -1395.910601
          0,           0,          68,      -3.689906791,      -1395.911232
          0,           0,          69,      -3.704122543,      -1395.911932
          0,           0,          70,      -3.716395137,       -1395.91254
          0,           0,          71,      -3.729011168,      -1395.913062
          0,           0,          72,      -3.742358485,       -1395.91352
          0,           0,          73,      -3.756194198,      -1395.913915
          0,           0,          74,      -3.770307419,      -1395.914251
          0,           0,          75,      -3.784560227,      -1395.914533
          0,           0,          76,      -3.798861496,      -1395.914767
          0,           0,          77,      -3.813183314,      -1395.914958
          0,           0,          78,      -3.828434583,      -1395.915111
          0,           0,          79,       -3.85005612,      -1395.915437
          0,           0,          80,      -3.870910877,      -1395.915748
          0,           0,          81,      -3.879628417,      -1395.915867
          0,           0,          82,      -3.884669613,       -1395.91598
          0,           0,          83,      -3.890830509,      -1395.916066
          0,           0,          84,      -3.898350393,      -1395.916128
          0,           0,          85,      -3.906798238,      -1395.916168
          0,           0,          86,      -3.915823768,      -1395.916189
          0,           0,          87,      -3.925094234,      -1395.916195
          0,           0,          88,      -3.936576955,      -1395.916178
          0,           0,          89,      -3.947475928,      -1395.916193
          0,           0,          90,      -3.957921629,      -1395.916192
          0,           0,          91,      -3.967968085,      -1395.916171
          0,           0,          92,      -3.980107475,      -1395.916242
          0,           0,          93,      -3.995737951,      -1395.916351
          0,           0,          94,      -4.011320994,      -1395.916354
          0,           0,          95,      -4.023626905,       -1395.91634
          0,           0,          96,      -4.034926504,      -1395.916321
          0,           0,          97,      -4.046241911,      -1395.916301
          0,           0,          98,      -4.057643654,      -1395.916281
          0,           0,          99,      -4.068887461,      -1395.916257
          0,           0,         100,      -4.079912228,       -1395.91623
          0,           0,         101,       -4.09074326,      -1395.916201
          0,           0,         102,      -4.109653556,      -1395.916232
          0,           0,         103,      -4.126289765,      -1395.916268
          0,           0,         104,      -4.142102391,      -1395.916297
          0,           0,         105,      -4.155685514,      -1395.916343
          0,           0,         106,      -4.168266101,      -1395.916368
