"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,   "mdot_outlet"  
          0,           0,           0,      0.7545841295,      -670.1535583
          0,           0,           1,      0.1546314227,      -1763.662982
          0,           0,           2,     -0.2882360478,       -1402.36627
          0,           0,           3,     -0.4538160008,      -1412.758479
          0,           0,           4,     -0.5725629426,      -1415.803317
          0,           0,           5,     -0.7090946939,      -1413.280139
          0,           0,           6,     -0.8684712924,      -1408.612772
          0,           0,           7,     -0.9487706463,      -1405.794823
          0,           0,           8,      -1.017717898,      -1404.981652
          0,           0,           9,      -1.108178755,       -1404.71598
          0,           0,          10,      -1.206256787,      -1404.095444
          0,           0,          11,      -1.301850722,      -1403.249862
          0,           0,          12,      -1.387319615,      -1402.518863
          0,           0,          13,      -1.474632944,      -1402.012258
          0,           0,          14,       -1.54829074,       -1401.59819
          0,           0,          15,      -1.608027316,      -1401.215556
          0,           0,          16,      -1.669733435,      -1400.907358
          0,           0,          17,      -1.731068735,        -1400.7255
          0,           0,          18,      -1.788761816,      -1400.639419
          0,           0,          19,      -1.838327289,       -1400.60679
          0,           0,          20,      -1.883392082,      -1400.605481
          0,           0,          21,       -1.93486568,      -1400.639119
          0,           0,          22,      -1.984510741,      -1400.698109
          0,           0,          23,      -2.027719286,      -1400.774337
          0,           0,          24,      -2.068092045,      -1400.854319
          0,           0,          25,       -2.10785222,      -1400.917449
          0,           0,          26,      -2.148210072,      -1400.948439
          0,           0,          27,       -2.18997313,      -1400.947842
          0,           0,          28,       -2.22981718,      -1400.914913
          0,           0,          29,      -2.262670591,      -1400.860211
          0,           0,          30,      -2.291462141,      -1400.796836
          0,           0,          31,       -2.32036175,      -1400.736647
          0,           0,          32,       -2.35946841,      -1400.689159
          0,           0,          33,      -2.398797463,      -1400.652837
          0,           0,          34,      -2.435139952,      -1400.627414
          0,           0,          35,      -2.469776718,      -1400.611986
          0,           0,          36,      -2.500399911,      -1400.603866
          0,           0,          37,      -2.528004272,      -1400.598963
          0,           0,          38,      -2.553916252,      -1400.594977
          0,           0,          39,      -2.578377711,        -1400.5905
          0,           0,          40,      -2.601767343,      -1400.584739
          0,           0,          41,      -2.624427892,       -1400.57774
          0,           0,          42,       -2.64664173,      -1400.570028
          0,           0,          43,      -2.668590007,      -1400.562178
          0,           0,          44,      -2.690328224,      -1400.554672
          0,           0,          45,      -2.711794614,      -1400.547873
          0,           0,          46,      -2.732890134,      -1400.541987
          0,           0,          47,      -2.753554102,      -1400.537065
          0,           0,          48,      -2.773793478,      -1400.533043
          0,           0,          49,      -2.793675593,      -1400.529795
          0,           0,          50,      -2.813297371,      -1400.527185
          0,           0,          51,      -2.832755834,      -1400.525095
          0,           0,          52,      -2.852129687,      -1400.523428
          0,           0,          53,       -2.87147529,      -1400.522108
          0,           0,          54,       -2.89083059,      -1400.521072
          0,           0,          55,      -2.910205494,      -1400.520267
          0,           0,          56,      -2.929608305,      -1400.519647
          0,           0,          57,      -2.949043623,      -1400.519172
          0,           0,          58,      -2.968499618,       -1400.51881
          0,           0,          59,      -2.987970187,      -1400.518533
          0,           0,          60,      -3.007441888,      -1400.518314
          0,           0,          61,      -3.026899532,      -1400.518134
          0,           0,          62,      -3.046329246,      -1400.517975
          0,           0,          63,      -3.065719084,      -1400.517829
          0,           0,          64,      -3.085060169,      -1400.517687
          0,           0,          65,      -3.104345427,      -1400.517549
          0,           0,          66,      -3.123572995,      -1400.517415
          0,           0,          67,      -3.142744204,      -1400.517287
          0,           0,          68,      -3.161862804,      -1400.517168
          0,           0,          69,      -3.180936686,      -1400.517058
          0,           0,          70,      -3.199975241,      -1400.516961
          0,           0,          71,      -3.218988229,      -1400.516878
          0,           0,          72,      -3.237985537,      -1400.516807
          0,           0,          73,      -3.256977216,       -1400.51675
          0,           0,          74,      -3.275973093,      -1400.516705
          0,           0,          75,      -3.294982215,      -1400.516673
          0,           0,          76,      -3.314012516,      -1400.516653
          0,           0,          77,      -3.333070701,      -1400.516643
          0,           0,          78,      -3.352162369,      -1400.516643
