"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,   "mdot_outlet"  
          0,           0,           0,     -0.2093722449,      -509.8800578
          0,           0,           1,      -0.892528921,       -86.3220798
          0,           0,           2,      -1.239905926,      -153.7344506
          0,           0,           3,      -1.309779312,       -212.265078
          0,           0,           4,      -1.508129177,      -142.3840048
          0,           0,           5,      -1.697189836,      -144.8275933
          0,           0,           6,      -1.861974052,      -156.0756496
          0,           0,           7,      -1.982753952,      -138.1617245
          0,           0,           8,      -2.135275828,      -141.7596889
          0,           0,           9,      -2.255323222,      -141.3395164
          0,           0,          10,      -2.362119136,       -135.434556
          0,           0,          11,      -2.464026387,      -136.3901645
          0,           0,          12,      -2.541555001,       -134.718632
          0,           0,          13,      -2.616090205,      -132.9947697
          0,           0,          14,      -2.678160593,      -132.8298425
          0,           0,          15,      -2.726972215,      -131.7112698
          0,           0,          16,      -2.772660301,      -131.0608615
          0,           0,          17,      -2.813345631,       -130.627208
          0,           0,          18,      -2.852222335,      -129.9950493
          0,           0,          19,       -2.89084821,      -129.5924302
          0,           0,          20,      -2.926368571,      -129.1931943
          0,           0,          21,      -2.958659743,      -128.8033593
          0,           0,          22,      -2.986353311,      -128.4979413
          0,           0,          23,      -3.009953142,      -128.1996373
          0,           0,          24,      -3.028823308,      -127.9385017
          0,           0,          25,      -3.043714857,      -127.7195064
          0,           0,          26,      -2.938810119,      -127.5577475
          0,           0,          27,      -2.784614664,      -127.5328236
          0,           0,          28,      -2.592046399,      -127.5110122
          0,           0,          29,      -2.553000438,      -127.3556915
          0,           0,          30,      -2.604138579,      -127.1761293
          0,           0,          31,      -2.652175783,      -127.0152723
          0,           0,          32,       -2.71442512,      -126.8308705
          0,           0,          33,      -2.790130046,      -126.6694099
          0,           0,          34,      -2.852482893,      -126.5602647
          0,           0,          35,      -2.882970462,       -126.471471
          0,           0,          36,      -2.910208938,      -126.4084061
          0,           0,          37,      -2.935569078,      -126.3593217
          0,           0,          38,      -2.959856986,      -126.3028705
          0,           0,          39,      -2.975551794,      -126.2495936
          0,           0,          40,      -3.001992635,       -126.194724
          0,           0,          41,      -3.030129337,       -126.153045
          0,           0,          42,       -3.06243297,      -126.1272733
          0,           0,          43,      -3.081678851,      -126.1077882
          0,           0,          44,      -3.110935987,      -126.0958921
