"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.539,3.342e+05,0.33295,175.98,0,0,1.2966e+05,1.5996,293.49,114.35,0,0,1,0,-3,0,0
1.5389,3.342e+05,0.333,176,0,0,1.2965e+05,1.5995,293.49,114.36,0,0,1,0.013,-2.987,0,0
1.5389,3.342e+05,0.33304,176.02,0,0,1.2965e+05,1.5993,293.49,114.38,0,0,1,0.026,-2.974,0,0
1.5389,3.342e+05,0.33309,176.04,0,0,1.2965e+05,1.5992,293.49,114.39,0,0,1,0.039,-2.961,0,0
1.5389,3.3419e+05,0.33315,176.07,-5.9964e-18,0,1.2965e+05,1.5991,293.49,114.41,-3.8967e-18,0,1,0.052,-2.948,0,0
1.5388,3.3418e+05,0.33326,176.12,0,0,1.2964e+05,1.5987,293.48,114.45,0,0,1,0.065,-2.935,0,0
1.5388,3.3417e+05,0.33338,176.18,0,0,1.2963e+05,1.5984,293.48,114.49,0,0,1,0.078,-2.922,0,0
1.5387,3.3416e+05,0.33349,176.23,0,0,1.2963e+05,1.598,293.47,114.53,0,0,1,0.091,-2.909,0,0
1.5387,3.3415e+05,0.33362,176.29,7.982e-18,0,1.2962e+05,1.5975,293.47,114.57,5.188e-18,0,1,0.104,-2.896,0,0
1.5386,3.3413e+05,0.33381,176.38,0,0,1.2961e+05,1.5969,293.46,114.64,0,0,1,0.117,-2.883,0,0
1.5385,3.3412e+05,0.334,176.46,0,0,1.296e+05,1.5963,293.45,114.7,0,0,1,0.13,-2.87,0,0
1.5384,3.341e+05,0.33418,176.55,0,0,1.2959e+05,1.5957,293.45,114.76,0,0,1,0.143,-2.857,0,0
1.5383,3.3408e+05,0.3344,176.65,0,0,1.2957e+05,1.595,293.44,114.84,0,0,1,0.156,-2.844,0,0
1.5382,3.3406e+05,0.33467,176.77,0,0,1.2956e+05,1.5941,293.43,114.92,0,0,1,0.169,-2.831,0,0
1.538,3.3403e+05,0.33493,176.89,0,0,1.2954e+05,1.5932,293.42,115.01,0,0,1,0.182,-2.818,0,0
1.5379,3.3401e+05,0.33519,177.01,0,0,1.2953e+05,1.5924,293.41,115.1,0,0,1,0.195,-2.805,0,0
1.5377,3.3398e+05,0.3355,177.15,-1.4234e-17,0,1.2951e+05,1.5913,293.4,115.2,-9.2572e-18,0,1,0.208,-2.792,0,0
1.5376,3.3395e+05,0.33583,177.31,0,0,1.2949e+05,1.5902,293.38,115.32,0,0,1,0.221,-2.779,0,0
1.5374,3.3392e+05,0.33617,177.46,0,0,1.2947e+05,1.5891,293.37,115.43,0,0,1,0.234,-2.766,0,0
1.5372,3.3389e+05,0.3365,177.61,0,0,1.2945e+05,1.588,293.36,115.54,0,0,1,0.247,-2.753,0,0
1.537,3.3385e+05,0.33689,177.79,3.4676e-17,0,1.2943e+05,1.5867,293.34,115.67,2.2563e-17,0,1,0.26,-2.74,0,0
1.5368,3.3381e+05,0.3373,177.98,0,0,1.294e+05,1.5853,293.33,115.81,0,0,1,0.273,-2.727,0,0
1.5366,3.3378e+05,0.33771,178.17,0,0,1.2938e+05,1.5839,293.31,115.95,0,0,1,0.286,-2.714,0,0
1.5364,3.3374e+05,0.33812,178.35,0,0,1.2935e+05,1.5825,293.29,116.08,0,0,1,0.299,-2.701,0,0
1.5362,3.3369e+05,0.3386,178.57,0,0,1.2933e+05,1.5809,293.27,116.25,0,0,1,0.312,-2.688,0,0
1.5359,3.3365e+05,0.33909,178.79,0,0,1.293e+05,1.5793,293.26,116.41,0,0,1,0.325,-2.675,0,0
1.5357,3.336e+05,0.33957,179.01,0,0,1.2927e+05,1.5777,293.24,116.57,0,0,1,0.338,-2.662,0,0
1.5354,3.3356e+05,0.34006,179.24,-1.1767e-17,0,1.2924e+05,1.576,293.22,116.73,-7.6659e-18,0,1,0.351,-2.649,0,0
1.5352,3.3351e+05,0.34062,179.49,0,0,1.2921e+05,1.5741,293.2,116.92,0,0,1,0.364,-2.636,0,0
1.5349,3.3345e+05,0.34118,179.75,0,0,1.2917e+05,1.5722,293.17,117.11,0,0,1,0.377,-2.623,0,0
1.5346,3.334e+05,0.34174,180,0,0,1.2914e+05,1.5703,293.15,117.3,0,0,1,0.39,-2.61,0,0
1.5343,3.3335e+05,0.34231,180.26,-5.3285e-17,0,1.291e+05,1.5684,293.13,117.49,-3.474e-17,0,1,0.403,-2.597,0,0
1.534,3.3329e+05,0.34295,180.55,0,0,1.2906e+05,1.5662,293.11,117.7,0,0,1,0.416,-2.584,0,0
1.5336,3.3323e+05,0.34358,180.84,0,0,1.2903e+05,1.564,293.08,117.92,0,0,1,0.429,-2.571,0,0
1.5333,3.3317e+05,0.34422,181.13,0,0,1.2899e+05,1.5619,293.06,118.13,0,0,1,0.442,-2.558,0,0
1.533,3.3311e+05,0.34488,181.43,1.4883e-17,0,1.2895e+05,1.5596,293.03,118.35,9.712e-18,0,1,0.455,-2.545,0,0
1.5326,3.3304e+05,0.3456,181.75,0,0,1.289e+05,1.5572,293,118.59,0,0,1,0.468,-2.532,0,0
1.5322,3.3297e+05,0.34631,182.08,0,0,1.2886e+05,1.5547,292.97,118.83,0,0,1,0.481,-2.519,0,0
1.5319,3.3291e+05,0.34702,182.4,0,0,1.2882e+05,1.5523,292.94,119.07,0,0,1,0.494,-2.506,0,0
1.5315,3.3283e+05,0.34778,182.74,0,0,1.2877e+05,1.5497,292.91,119.32,0,0,1,0.507,-2.493,0,0
1.5311,3.3276e+05,0.34857,183.1,0,0,1.2872e+05,1.5469,292.88,119.59,0,0,1,0.52,-2.48,0,0
1.5307,3.3268e+05,0.34937,183.46,0,0,1.2867e+05,1.5442,292.85,119.85,0,0,1,0.533,-2.467,0,0
1.5302,3.326e+05,0.35016,183.81,0,0,1.2863e+05,1.5414,292.82,120.12,0,0,1,0.546,-2.454,0,0
1.5298,3.3252e+05,0.35102,184.2,-7.1479e-17,0,1.2857e+05,1.5385,292.78,120.41,-4.6739e-17,0,1,0.559,-2.441,0,0
1.5294,3.3244e+05,0.35189,184.59,0,0,1.2852e+05,1.5355,292.75,120.7,0,0,1,0.572,-2.428,0,0
1.5289,3.3236e+05,0.35277,184.99,0,0,1.2847e+05,1.5326,292.71,120.99,0,0,1,0.585,-2.415,0,0
1.5285,3.3228e+05,0.35365,185.39,0,0,1.2842e+05,1.5296,292.68,121.29,0,0,1,0.598,-2.402,0,0
1.528,3.3219e+05,0.35455,185.78,3.668e-17,0,1.2836e+05,1.5263,292.64,121.59,2.4012e-17,0,1,0.611,-2.389,0,0
1.5274,3.3209e+05,0.35544,186.17,0,0,1.283e+05,1.5228,292.61,121.89,0,0,1,0.624,-2.376,0,0
1.5269,3.3198e+05,0.35634,186.57,0,0,1.2823e+05,1.5194,292.57,122.19,0,0,1,0.637,-2.363,0,0
1.5263,3.3188e+05,0.35724,186.96,0,0,1.2817e+05,1.5159,292.53,122.49,0,0,1,0.65,-2.35,0,0
1.5259,3.318e+05,0.3583,187.44,0,0,1.2812e+05,1.5127,292.49,122.84,0,0,1,0.663,-2.337,0,0
1.5254,3.3172e+05,0.35935,187.92,0,0,1.2806e+05,1.5094,292.45,123.19,0,0,1,0.676,-2.324,0,0
1.525,3.3164e+05,0.36041,188.4,0,0,1.28e+05,1.5061,292.4,123.55,0,0,1,0.689,-2.311,0,0
1.5245,3.3155e+05,0.36148,188.89,-5.2206e-17,0,1.2794e+05,1.5027,292.36,123.91,-3.4278e-17,0,1,0.702,-2.298,0,0
1.5238,3.3143e+05,0.36262,189.39,0,0,1.2786e+05,1.4984,292.31,124.29,0,0,1,0.715,-2.285,0,0
1.5231,3.313e+05,0.36377,189.89,0,0,1.2779e+05,1.4941,292.26,124.67,0,0,1,0.728,-2.272,0,0
1.5225,3.3118e+05,0.36491,190.39,0,0,1.2771e+05,1.4898,292.22,125.05,0,0,1,0.741,-2.259,0,0
1.5218,3.3106e+05,0.36605,190.89,7.07e-17,0,1.2764e+05,1.4856,292.17,125.43,4.6494e-17,0,1,0.754,-2.246,0,0
1.5213,3.3096e+05,0.36716,191.38,0,0,1.2757e+05,1.4817,292.12,125.8,0,0,1,0.767,-2.233,0,0
1.5207,3.3085e+05,0.36827,191.87,0,0,1.275e+05,1.4778,292.08,126.17,0,0,1,0.78,-2.22,0,0
1.5201,3.3074e+05,0.36938,192.36,0,0,1.2743e+05,1.4739,292.03,126.54,0,0,1,0.793,-2.207,0,0
1.5194,3.3062e+05,0.37057,192.88,0,0,1.2735e+05,1.4696,291.98,126.94,0,0,1,0.806,-2.194,0,0
1.5187,3.3049e+05,0.37184,193.42,0,0,1.2727e+05,1.4648,291.93,127.36,0,0,1,0.819,-2.181,0,0
1.518,3.3035e+05,0.37311,193.97,0,0,1.2718e+05,1.46,291.87,127.78,0,0,1,0.832,-2.168,0,0
1.5172,3.3021e+05,0.37437,194.52,0,0,1.271e+05,1.4552,291.82,128.21,0,0,1,0.845,-2.155,0,0
1.5165,3.3008e+05,0.37568,195.09,-5.3186e-17,0,1.2701e+05,1.4503,291.76,128.64,-3.5092e-17,0,1,0.858,-2.142,0,0
1.5157,3.2994e+05,0.37702,195.66,0,0,1.2692e+05,1.4454,291.71,129.09,0,0,1,0.871,-2.129,0,0
1.515,3.298e+05,0.37835,196.24,0,0,1.2684e+05,1.4405,291.65,129.53,0,0,1,0.884,-2.116,0,0
1.5143,3.2966e+05,0.37969,196.82,0,0,1.2675e+05,1.4356,291.59,129.98,0,0,1,0.897,-2.103,0,0
1.5135,3.2952e+05,0.3811,197.42,1.3185e-16,0,1.2666e+05,1.4304,291.53,130.44,8.7176e-17,0,1,0.91,-2.09,0,0
1.5127,3.2937e+05,0.38253,198.04,0,0,1.2656e+05,1.4251,291.47,130.92,0,0,1,0.923,-2.077,0,0
1.5119,3.2923e+05,0.38396,198.66,0,0,1.2647e+05,1.4198,291.41,131.4,0,0,1,0.936,-2.064,0,0
1.5111,3.2908e+05,0.3854,199.27,0,0,1.2638e+05,1.4146,291.35,131.87,0,0,1,0.949,-2.051,0,0
