"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.93069,2.011e+05,0.21419,68.902,0,0,79420,-1.2342,297.27,74.033,0,0,1,0,-3,0,0
0.93069,2.011e+05,0.21422,68.91,0,0,79420,-1.2343,297.27,74.042,0,0,1,0.013,-2.987,0,0
0.93069,2.011e+05,0.21425,68.919,0,0,79419,-1.2343,297.27,74.052,0,0,1,0.026,-2.974,0,0
0.93068,2.011e+05,0.21427,68.928,0,0,79419,-1.2343,297.27,74.062,0,0,1,0.039,-2.961,0,0
0.93068,2.011e+05,0.21431,68.939,-2.3051e-18,0,79418,-1.2343,297.27,74.074,-2.4768e-18,0,1,0.052,-2.948,0,0
0.93067,2.011e+05,0.21437,68.958,0,0,79417,-1.2344,297.27,74.095,0,0,1,0.065,-2.935,0,0
0.93065,2.0109e+05,0.21444,68.978,0,0,79415,-1.2345,297.27,74.117,0,0,1,0.078,-2.922,0,0
0.93064,2.0109e+05,0.2145,68.997,-7.3764e-18,0,79414,-1.2346,297.26,74.139,-7.9259e-18,0,1,0.091,-2.909,0,0
0.93063,2.0109e+05,0.21458,69.02,3.1984e-18,0,79412,-1.2347,297.26,74.165,3.4369e-18,0,1,0.104,-2.896,0,0
0.93061,2.0109e+05,0.21468,69.051,0,0,79410,-1.2348,297.26,74.2,0,0,1,0.117,-2.883,0,0
0.93059,2.0108e+05,0.21478,69.082,0,0,79407,-1.235,297.26,74.235,0,0,1,0.13,-2.87,0,0
0.93057,2.0108e+05,0.21488,69.114,-1.2793e-17,0,79405,-1.2351,297.25,74.27,-1.3747e-17,0,1,0.143,-2.857,0,0
0.93055,2.0107e+05,0.21501,69.151,0,0,79402,-1.2352,297.25,74.312,0,0,1,0.156,-2.844,0,0
0.93052,2.0107e+05,0.21515,69.196,0,0,79399,-1.2354,297.25,74.362,0,0,1,0.169,-2.831,0,0
0.9305,2.0107e+05,0.2153,69.24,0,0,79396,-1.2356,297.24,74.412,0,0,1,0.182,-2.818,0,0
0.93047,2.0106e+05,0.21544,69.285,0,0,79393,-1.2358,297.24,74.462,0,0,1,0.195,-2.805,0,0
0.93044,2.0106e+05,0.21562,69.337,-6.4666e-18,0,79389,-1.236,297.24,74.521,-6.9507e-18,0,1,0.208,-2.792,0,0
0.93039,2.0105e+05,0.21581,69.395,0,0,79384,-1.2363,297.23,74.586,0,0,1,0.221,-2.779,0,0
0.93035,2.0104e+05,0.216,69.452,0,0,79378,-1.2366,297.23,74.652,0,0,1,0.234,-2.766,0,0
0.9303,2.0103e+05,0.21619,69.509,0,0,79373,-1.2369,297.22,74.717,0,0,1,0.247,-2.753,0,0
0.93026,2.0102e+05,0.21641,69.578,1.193e-17,0,79368,-1.2372,297.22,74.794,1.2826e-17,0,1,0.26,-2.74,0,0
0.93022,2.0102e+05,0.21665,69.649,0,0,79363,-1.2374,297.21,74.874,0,0,1,0.273,-2.727,0,0
0.93018,2.0101e+05,0.21688,69.721,0,0,79358,-1.2377,297.2,74.954,0,0,1,0.286,-2.714,0,0
0.93014,2.01e+05,0.21711,69.793,0,0,79354,-1.238,297.2,75.034,0,0,1,0.299,-2.701,0,0
0.93008,2.0099e+05,0.21738,69.874,0,0,79346,-1.2384,297.19,75.127,0,0,1,0.312,-2.688,0,0
0.93002,2.0098e+05,0.21766,69.957,0,0,79339,-1.2388,297.18,75.221,0,0,1,0.325,-2.675,0,0
0.92996,2.0097e+05,0.21793,70.039,0,0,79332,-1.2392,297.18,75.315,0,0,1,0.338,-2.662,0,0
0.92989,2.0096e+05,0.21821,70.123,-3.7946e-18,0,79325,-1.2396,297.17,75.409,-4.0809e-18,0,1,0.351,-2.649,0,0
0.92984,2.0095e+05,0.21852,70.217,0,0,79318,-1.24,297.16,75.516,0,0,1,0.364,-2.636,0,0
0.92978,2.0094e+05,0.21883,70.312,0,0,79311,-1.2404,297.15,75.622,0,0,1,0.377,-2.623,0,0
0.92972,2.0092e+05,0.21914,70.406,0,0,79304,-1.2408,297.15,75.729,0,0,1,0.39,-2.61,0,0
0.92966,2.0091e+05,0.21947,70.505,-2.0957e-17,0,79296,-1.2412,297.14,75.839,-2.2546e-17,0,1,0.403,-2.597,0,0
0.92959,2.009e+05,0.21983,70.616,0,0,79287,-1.2417,297.13,75.964,0,0,1,0.416,-2.584,0,0
0.92951,2.0089e+05,0.2202,70.726,0,0,79278,-1.2422,297.12,76.09,0,0,1,0.429,-2.571,0,0
0.92944,2.0087e+05,0.22056,70.837,0,0,79269,-1.2427,297.11,76.215,0,0,1,0.442,-2.558,0,0
0.92936,2.0086e+05,0.22094,70.951,4.4386e-18,0,79260,-1.2433,297.1,76.344,4.7765e-18,0,1,0.455,-2.545,0,0
0.92928,2.0084e+05,0.22134,71.07,0,0,79250,-1.2438,297.09,76.479,0,0,1,0.468,-2.532,0,0
0.92919,2.0083e+05,0.22173,71.19,0,0,79241,-1.2444,297.08,76.615,0,0,1,0.481,-2.519,0,0
0.92911,2.0081e+05,0.22213,71.309,0,0,79231,-1.2449,297.07,76.75,0,0,1,0.494,-2.506,0,0
0.92902,2.008e+05,0.22255,71.436,0,0,79220,-1.2455,297.06,76.894,0,0,1,0.507,-2.493,0,0
0.92893,2.0078e+05,0.22299,71.569,0,0,79209,-1.2461,297.05,77.045,0,0,1,0.52,-2.48,0,0
0.92884,2.0076e+05,0.22343,71.702,0,0,79198,-1.2467,297.03,77.196,0,0,1,0.533,-2.467,0,0
0.92874,2.0075e+05,0.22387,71.835,0,0,79187,-1.2474,297.02,77.347,0,0,1,0.546,-2.454,0,0
0.92865,2.0073e+05,0.22434,71.978,-2.7227e-17,0,79176,-1.248,297.01,77.508,-2.9322e-17,0,1,0.559,-2.441,0,0
0.92856,2.0071e+05,0.22483,72.125,0,0,79165,-1.2486,297,77.674,0,0,1,0.572,-2.428,0,0
0.92847,2.007e+05,0.22531,72.272,0,0,79154,-1.2493,296.98,77.84,0,0,1,0.585,-2.415,0,0
0.92838,2.0068e+05,0.2258,72.419,0,0,79142,-1.2499,296.97,78.006,0,0,1,0.598,-2.402,0,0
0.92827,2.0066e+05,0.22632,72.577,1.6689e-17,0,79129,-1.2506,296.96,78.185,1.7981e-17,0,1,0.611,-2.389,0,0
0.92815,2.0064e+05,0.22685,72.736,0,0,79116,-1.2514,296.94,78.367,0,0,1,0.624,-2.376,0,0
0.92804,2.0062e+05,0.22738,72.895,0,0,79102,-1.2522,296.93,78.548,0,0,1,0.637,-2.363,0,0
0.92792,2.006e+05,0.22791,73.055,0,0,79088,-1.2529,296.92,78.729,0,0,1,0.65,-2.35,0,0
0.92781,2.0058e+05,0.22848,73.225,0,0,79075,-1.2537,296.9,78.922,0,0,1,0.663,-2.337,0,0
0.92769,2.0055e+05,0.22904,73.394,0,0,79061,-1.2545,296.88,79.115,0,0,1,0.676,-2.324,0,0
0.92757,2.0053e+05,0.22961,73.564,0,0,79047,-1.2553,296.87,79.308,0,0,1,0.689,-2.311,0,0
0.92746,2.0051e+05,0.23018,73.736,-2.098e-17,0,79033,-1.2561,296.85,79.504,-2.2627e-17,0,1,0.702,-2.298,0,0
0.92733,2.0049e+05,0.2308,73.922,0,0,79017,-1.257,296.84,79.715,0,0,1,0.715,-2.285,0,0
0.9272,2.0047e+05,0.23142,74.107,0,0,79002,-1.2578,296.82,79.926,0,0,1,0.728,-2.272,0,0
0.92707,2.0044e+05,0.23203,74.293,0,0,78987,-1.2587,296.8,80.137,0,0,1,0.741,-2.259,0,0
