"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.5956,1.4323e+06,0.33285,753.97,0,0,5.5568e+05,25.632,293.5,114.31,0,0,1,0,-3,0,0
6.5956,1.4323e+06,0.33287,754.01,0,0,5.5568e+05,25.632,293.5,114.32,0,0,1,0.013,-2.987,0,0
6.5957,1.4323e+06,0.33289,754.06,0,0,5.5568e+05,25.632,293.49,114.33,0,0,1,0.026,-2.974,0,0
6.5956,1.4323e+06,0.33293,754.15,0,0,5.5568e+05,25.631,293.49,114.34,0,0,1,0.039,-2.961,0,0
6.5954,1.4323e+06,0.33301,754.3,0,0,5.5566e+05,25.63,293.49,114.37,0,0,1,0.052,-2.948,0,0
6.5953,1.4322e+06,0.33308,754.44,0,0,5.5564e+05,25.629,293.49,114.39,0,0,1,0.065,-2.935,0,0
6.595,1.4322e+06,0.3332,754.68,0,0,5.5561e+05,25.627,293.48,114.43,0,0,1,0.078,-2.922,0,0
6.5948,1.4322e+06,0.33332,754.92,0,0,5.5558e+05,25.626,293.48,114.47,0,0,1,0.091,-2.909,0,0
6.5944,1.4321e+06,0.33347,755.21,0,0,5.5554e+05,25.623,293.47,114.52,0,0,1,0.104,-2.896,0,0
6.5941,1.432e+06,0.33364,755.54,0,0,5.555e+05,25.621,293.47,114.58,0,0,1,0.117,-2.883,0,0
6.5937,1.432e+06,0.33381,755.87,0,0,5.5546e+05,25.619,293.46,114.63,0,0,1,0.13,-2.87,0,0
6.5933,1.4319e+06,0.33402,756.3,0,0,5.554e+05,25.616,293.45,114.71,0,0,1,0.143,-2.857,0,0
6.5928,1.4318e+06,0.33424,756.72,0,0,5.5534e+05,25.612,293.44,114.78,0,0,1,0.156,-2.844,0,0
6.5923,1.4317e+06,0.33448,757.2,0,0,5.5528e+05,25.609,293.43,114.86,0,0,1,0.169,-2.831,0,0
6.5917,1.4316e+06,0.33474,757.72,0,0,5.5522e+05,25.605,293.42,114.95,0,0,1,0.182,-2.818,0,0
6.5911,1.4315e+06,0.33501,758.24,0,0,5.5515e+05,25.601,293.41,115.04,0,0,1,0.195,-2.805,0,0
6.5905,1.4314e+06,0.33532,758.85,0,0,5.5507e+05,25.597,293.4,115.14,0,0,1,0.208,-2.792,0,0
6.5898,1.4312e+06,0.33564,759.47,0,0,5.5499e+05,25.592,293.39,115.25,0,0,1,0.221,-2.779,0,0
6.5891,1.4311e+06,0.33597,760.13,0,0,5.549e+05,25.588,293.38,115.36,0,0,1,0.234,-2.766,0,0
6.5883,1.431e+06,0.33633,760.84,0,0,5.5481e+05,25.582,293.36,115.48,0,0,1,0.247,-2.753,0,0
6.5875,1.4308e+06,0.3367,761.55,0,0,5.5472e+05,25.577,293.35,115.61,0,0,1,0.26,-2.74,0,0
6.5866,1.4307e+06,0.33711,762.35,0,0,5.5461e+05,25.571,293.33,115.74,0,0,1,0.273,-2.727,0,0
6.5857,1.4305e+06,0.33752,763.16,0,0,5.5451e+05,25.565,293.32,115.88,0,0,1,0.286,-2.714,0,0
6.5848,1.4303e+06,0.33795,764.01,0,0,5.544e+05,25.559,293.3,116.03,0,0,1,0.299,-2.701,0,0
6.5838,1.4301e+06,0.33841,764.9,0,0,5.5428e+05,25.552,293.28,116.18,0,0,1,0.312,-2.688,0,0
6.5828,1.43e+06,0.33887,765.8,0,0,5.5416e+05,25.546,293.26,116.33,0,0,1,0.325,-2.675,0,0
6.5817,1.4298e+06,0.33937,766.79,0,0,5.5403e+05,25.538,293.24,116.5,0,0,1,0.338,-2.662,0,0
6.5806,1.4295e+06,0.33988,767.78,0,0,5.539e+05,25.531,293.22,116.67,0,0,1,0.351,-2.649,0,0
6.5794,1.4293e+06,0.34041,768.82,0,0,5.5377e+05,25.523,293.2,116.85,0,0,1,0.364,-2.636,0,0
6.5782,1.4291e+06,0.34097,769.9,0,0,5.5362e+05,25.515,293.18,117.04,0,0,1,0.377,-2.623,0,0
6.577,1.4289e+06,0.34152,770.99,0,0,5.5348e+05,25.507,293.16,117.23,0,0,1,0.39,-2.61,0,0
6.5756,1.4286e+06,0.34213,772.17,0,0,5.5332e+05,25.498,293.14,117.43,0,0,1,0.403,-2.597,0,0
6.5743,1.4284e+06,0.34273,773.35,0,0,5.5317e+05,25.49,293.11,117.63,0,0,1,0.416,-2.584,0,0
6.5729,1.4281e+06,0.34336,774.57,0,0,5.53e+05,25.48,293.09,117.84,0,0,1,0.429,-2.571,0,0
6.5715,1.4279e+06,0.34402,775.84,0,0,5.5283e+05,25.471,293.06,118.06,0,0,1,0.442,-2.558,0,0
6.57,1.4276e+06,0.34467,777.11,0,0,5.5266e+05,25.461,293.04,118.28,0,0,1,0.455,-2.545,0,0
6.5685,1.4273e+06,0.34538,778.48,0,0,5.5248e+05,25.451,293.01,118.52,0,0,1,0.468,-2.532,0,0
6.5669,1.427e+06,0.34608,779.84,0,0,5.5229e+05,25.44,292.98,118.75,0,0,1,0.481,-2.519,0,0
6.5653,1.4267e+06,0.34681,781.26,0,0,5.521e+05,25.43,292.95,119,0,0,1,0.494,-2.506,0,0
6.5636,1.4264e+06,0.34756,782.71,0,0,5.5191e+05,25.418,292.92,119.25,0,0,1,0.507,-2.493,0,0
6.5619,1.4261e+06,0.34832,784.17,0,0,5.5171e+05,25.407,292.89,119.5,0,0,1,0.52,-2.48,0,0
6.5601,1.4258e+06,0.34912,785.72,0,0,5.515e+05,25.395,292.86,119.77,0,0,1,0.533,-2.467,0,0
6.5583,1.4255e+06,0.34993,787.27,0,0,5.5129e+05,25.383,292.83,120.04,0,0,1,0.546,-2.454,0,0
6.5565,1.4251e+06,0.35076,788.87,0,0,5.5107e+05,25.371,292.79,120.32,0,0,1,0.559,-2.441,0,0
6.5546,1.4248e+06,0.35161,790.52,0,0,5.5084e+05,25.358,292.76,120.61,0,0,1,0.572,-2.428,0,0
6.5526,1.4244e+06,0.35247,792.16,0,0,5.5061e+05,25.346,292.73,120.89,0,0,1,0.585,-2.415,0,0
6.5506,1.424e+06,0.35337,793.89,0,0,5.5037e+05,25.332,292.69,121.19,0,0,1,0.598,-2.402,0,0
6.5485,1.4237e+06,0.35428,795.63,0,0,5.5013e+05,25.318,292.65,121.5,0,0,1,0.611,-2.389,0,0
6.5464,1.4233e+06,0.35521,797.41,0,0,5.4989e+05,25.304,292.62,121.81,0,0,1,0.624,-2.376,0,0
6.5443,1.4229e+06,0.35616,799.24,0,0,5.4963e+05,25.29,292.58,122.13,0,0,1,0.637,-2.363,0,0
6.5421,1.4225e+06,0.35712,801.07,0,0,5.4937e+05,25.276,292.54,122.45,0,0,1,0.65,-2.35,0,0
6.5398,1.4221e+06,0.35813,802.99,0,0,5.491e+05,25.26,292.5,122.79,0,0,1,0.663,-2.337,0,0
6.5375,1.4216e+06,0.35913,804.91,0,0,5.4883e+05,25.245,292.46,123.12,0,0,1,0.676,-2.324,0,0
6.5351,1.4212e+06,0.36017,806.87,0,0,5.4855e+05,25.229,292.41,123.47,0,0,1,0.689,-2.311,0,0
6.5327,1.4208e+06,0.36123,808.88,0,0,5.4827e+05,25.213,292.37,123.82,0,0,1,0.702,-2.298,0,0
6.5303,1.4203e+06,0.36229,810.9,0,0,5.4798e+05,25.197,292.33,124.18,0,0,1,0.715,-2.285,0,0
6.5277,1.4198e+06,0.3634,813,0,0,5.4768e+05,25.18,292.28,124.55,0,0,1,0.728,-2.272,0,0
6.5251,1.4194e+06,0.36451,815.1,0,0,5.4738e+05,25.163,292.23,124.92,0,0,1,0.741,-2.259,0,0
6.5225,1.4189e+06,0.36565,817.25,0,0,5.4707e+05,25.146,292.19,125.3,0,0,1,0.754,-2.246,0,0
6.5198,1.4184e+06,0.36681,819.44,0,0,5.4675e+05,25.128,292.14,125.69,0,0,1,0.767,-2.233,0,0
6.5171,1.4179e+06,0.36797,821.63,0,0,5.4643e+05,25.11,292.09,126.07,0,0,1,0.78,-2.22,0,0
6.5142,1.4174e+06,0.36919,823.91,0,0,5.461e+05,25.091,292.04,126.48,0,0,1,0.793,-2.207,0,0
6.5114,1.4168e+06,0.37041,826.19,0,0,5.4576e+05,25.072,291.99,126.89,0,0,1,0.806,-2.194,0,0
6.5084,1.4163e+06,0.37165,828.52,0,0,5.4542e+05,25.053,291.93,127.3,0,0,1,0.819,-2.181,0,0
6.5054,1.4157e+06,0.37292,830.89,0,0,5.4507e+05,25.033,291.88,127.72,0,0,1,0.832,-2.168,0,0
6.5024,1.4152e+06,0.37419,833.26,0,0,5.4472e+05,25.013,291.83,128.15,0,0,1,0.845,-2.155,0,0
6.4993,1.4146e+06,0.37551,835.72,0,0,5.4435e+05,24.992,291.77,128.59,0,0,1,0.858,-2.142,0,0
6.4962,1.414e+06,0.37684,838.18,0,0,5.4398e+05,24.971,291.71,129.03,0,0,1,0.871,-2.129,0,0
6.4929,1.4134e+06,0.37819,840.69,0,0,5.436e+05,24.95,291.66,129.48,0,0,1,0.884,-2.116,0,0
6.4896,1.4128e+06,0.37957,843.23,0,0,5.4322e+05,24.928,291.6,129.94,0,0,1,0.897,-2.103,0,0
6.4863,1.4122e+06,0.38094,845.78,0,0,5.4283e+05,24.907,291.54,130.39,0,0,1,0.91,-2.09,0,0
6.4829,1.4116e+06,0.38238,848.42,0,0,5.4243e+05,24.884,291.48,130.87,0,0,1,0.923,-2.077,0,0
6.4794,1.4109e+06,0.38381,851.05,0,0,5.4202e+05,24.861,291.41,131.35,0,0,1,0.936,-2.064,0,0
6.4759,1.4103e+06,0.38527,853.73,0,0,5.4161e+05,24.838,291.35,131.83,0,0,1,0.949,-2.051,0,0
6.4723,1.4096e+06,0.38676,856.45,0,0,5.4119e+05,24.814,291.29,132.33,0,0,1,0.962,-2.038,0,0
6.4687,1.409e+06,0.38824,859.17,0,0,5.4076e+05,24.79,291.22,132.82,0,0,1,0.975,-2.025,0,0
6.4649,1.4083e+06,0.38978,861.97,0,0,5.4032e+05,24.765,291.15,133.33,0,0,1,0.988,-2.012,0,0
6.4611,1.4076e+06,0.39133,864.78,0,0,5.3988e+05,24.74,291.08,133.84,0,0,1,1.001,-1.999,0,0
6.4573,1.4069e+06,0.3929,867.63,0,0,5.3943e+05,24.715,291.01,134.36,0,0,1,1.014,-1.986,0,0
6.4533,1.4061e+06,0.3945,870.52,0,0,5.3897e+05,24.689,290.94,134.9,0,0,1,1.027,-1.973,0,0
6.4494,1.4054e+06,0.39609,873.41,0,0,5.3851e+05,24.663,290.87,135.43,0,0,1,1.04,-1.96,0,0
6.4453,1.4046e+06,0.39775,876.38,0,0,5.3803e+05,24.635,290.8,135.97,0,0,1,1.053,-1.947,0,0
