"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "AoA"      ,     "Buffet"     
          0,           0,           0,        -8.3254559,      -6.099183023,      -6.616006132,      -2.878675367,       -9.36020033,                        10,      -2.272383144,              10,      -4.955600364,       14425.51611,     0.01319446038,      0.7269514199,                 0,                 0,                 0,     0.09059339365,    -0.01611689962,      0.7268924998,                 0,       55.09519895,              2.31,    0.005214880997
          0,           0,           1,      -8.329598382,      -6.100102062,      -6.624581002,      -2.883189477,      -9.364641338,                        10,      -2.271793752,              10,      -4.952883687,       14425.51611,     0.01319446031,      0.7269514395,                 0,                 0,                 0,     0.09059339601,    -0.01611690048,      0.7268925193,                 0,       55.09520073,              2.31,    0.005214880997
          0,           0,           2,      -8.333087944,      -6.100407305,      -6.632397106,       -2.88677589,      -9.368985477,                        10,      -2.271495246,              10,      -4.950331973,       14425.51611,     0.01319446024,      0.7269514589,                 0,                 0,                 0,     0.09059339832,    -0.01611690134,      0.7268925388,                 0,       55.09520252,              2.31,    0.005214880997
          0,           0,           3,      -8.335942435,      -6.100215956,      -6.639339505,      -2.889459337,      -9.373251134,                        10,      -2.271486327,              10,      -4.948517035,       14425.51611,     0.01319446016,      0.7269514783,                 0,                 0,                 0,     0.09059340064,     -0.0161169022,      0.7268925581,                 0,        55.0952043,              2.31,    0.005214880997
          0,           0,           4,      -8.338183839,      -6.099590859,      -6.645231347,      -2.891264208,      -9.377446985,                        10,      -2.272111639,              10,      -4.946803955,       14425.51611,     0.01319446009,      0.7269514977,                 0,                 0,                 0,     0.09059340296,    -0.01611690305,      0.7268925775,                 0,       55.09520607,              2.31,    0.005214880997
          0,           0,           5,      -8.339821626,      -6.098586128,      -6.650013321,      -2.892211125,      -9.381565606,                        10,      -2.273420576,              10,      -4.944508663,       14425.51611,     0.01319446003,      0.7269515172,                 0,                 0,                 0,     0.09059340531,     -0.0161169039,      0.7268925969,                 0,       55.09520782,              2.31,    0.005214880997
          0,           0,           6,      -8.340865548,       -6.09725195,      -6.653720002,      -2.892325317,      -9.385589239,                        10,      -2.275384672,              10,      -4.941460144,       14425.51611,     0.01319445996,      0.7269515365,                 0,                 0,                 0,     0.09059340766,    -0.01611690474,      0.7268926163,                 0,       55.09520955,              2.31,    0.005214880997
          0,           0,           7,      -8.341333081,      -6.095640302,      -6.656416251,      -2.891642768,      -9.389496521,                        10,      -2.277958354,              10,      -4.937904008,       14425.51611,     0.01319445991,      0.7269515559,                 0,                 0,                 0,     0.09059341002,    -0.01611690558,      0.7268926356,                 0,       55.09521125,              2.31,    0.005214880997
          0,           0,           8,      -8.341250034,      -6.093805866,      -6.658167258,       -2.89021113,      -9.393267026,                        10,      -2.281067766,              10,      -4.934171353,       14425.51611,     0.01319445985,      0.7269515751,                 0,                 0,                 0,     0.09059341238,    -0.01611690641,      0.7268926549,                 0,       55.09521293,              2.31,    0.005214880997
          0,           0,           9,      -8.340648467,      -6.091803666,      -6.659035729,      -2.888087312,      -9.396883153,                        10,      -2.284630235,              10,      -4.930464675,       14425.51611,     0.01319445981,      0.7269515944,                 0,                 0,                 0,     0.09059341474,    -0.01611690723,      0.7268926741,                 0,       55.09521457,              2.31,    0.005214880997
          0,           0,          10,      -8.339564516,      -6.089687152,      -6.659087409,      -2.885334571,      -9.400330451,                        10,      -2.288570558,              10,      -4.926835982,       14425.51611,     0.01319445977,      0.7269516135,                 0,                 0,                 0,     0.09059341709,    -0.01611690804,      0.7268926932,                 0,       55.09521619,              2.31,    0.005214880997
          0,           0,          11,      -8.338037211,      -6.087507174,      -6.658392313,      -2.882020241,      -9.403597008,                        10,      -2.292830558,              10,      -4.923261343,       14425.51611,     0.01319445974,      0.7269516325,                 0,                 0,                 0,     0.09059341944,    -0.01611690884,      0.7268927122,                 0,       55.09521777,              2.31,    0.005214880997
          0,           0,          12,      -8.336107864,      -6.085311461,      -6.657024356,      -2.878214128,      -9.406672514,                        10,      -2.297363389,              10,      -4.919711783,       14425.51611,     0.01319445971,      0.7269516515,                 0,                 0,                 0,     0.09059342178,    -0.01611690963,      0.7268927312,                 0,       55.09521931,              2.31,    0.005214880997
          0,           0,          13,      -8.333819915,      -6.083144196,      -6.655059227,      -2.873987229,      -9.409547415,                        10,      -2.302128666,              10,      -4.916182307,       14425.51611,      0.0131944597,      0.7269516705,                 0,                 0,                 0,      0.0905934241,    -0.01611691041,      0.7268927501,                 0,       55.09522081,              2.31,    0.005214880997
          0,           0,          14,      -8.331218555,      -6.081045939,      -6.652572766,      -2.869410556,       -9.41221241,                        10,      -2.307087618,              10,      -4.912688614,       14425.51611,     0.01319445969,      0.7269516893,                 0,                 0,                 0,     0.09059342642,    -0.01611691117,      0.7268927689,                 0,       55.09522226,              2.31,    0.005214880997
          0,           0,          15,      -8.328350052,      -6.079053202,      -6.649640147,      -2.864553928,      -9.414658503,                        10,      -2.312202757,              10,      -4.909253528,       14425.51611,      0.0131944597,      0.7269517081,                 0,                 0,                 0,     0.09059342872,    -0.01611691192,      0.7268927877,                 0,       55.09522366,              2.31,    0.005214880997
