"Pressure_Coefficient","Points:0","Points:1","Points:2"
0.75792,0,0,0
0.20478,1,0.00012808,0
0.24082,1,3.5e-05,0
0.19088,0.99902,0.00033489,0
0.1853,0.99804,0.00054318,0
0.18497,0.99704,0.00075079,0
0.18366,0.99604,0.00095979,0
0.18195,0.99504,0.0011686,0
0.1801,0.99402,0.0013786,0
0.17816,0.993,0.0015892,0
0.17613,0.99197,0.0018007,0
0.17411,0.99093,0.0020134,0
0.17204,0.98989,0.0022262,0
0.16988,0.98884,0.0024406,0
0.1678,0.98778,0.0026553,0
0.16557,0.98671,0.002871,0
0.16338,0.98564,0.0030881,0
0.16121,0.98456,0.0033053,0
0.15888,0.98347,0.003524,0
0.15665,0.98237,0.0037439,0
0.15437,0.98127,0.0039641,0
0.15198,0.98015,0.0041858,0
0.14968,0.97903,0.0044085,0
0.14734,0.97791,0.0046316,0
0.14487,0.97677,0.0048561,0
0.1425,0.97563,0.0050818,0
0.14013,0.97447,0.0053077,0
0.13757,0.97332,0.0055351,0
0.13514,0.97215,0.005764,0
0.13273,0.97097,0.0059927,0
0.13012,0.96979,0.006223,0
0.12759,0.9686,0.0064548,0
0.12511,0.9674,0.0066868,0
0.12253,0.96619,0.0069199,0
0.11986,0.96497,0.0071545,0
0.1173,0.96375,0.0073902,0
0.11475,0.96252,0.0076259,0
0.11202,0.96128,0.0078631,0
0.10934,0.96003,0.008102,0
0.10674,0.95877,0.008341,0
0.10409,0.95751,0.0085808,0
0.10128,0.95623,0.0088222,0
0.098555,0.95495,0.0090651,0
0.095909,0.95366,0.0093079,0
0.093156,0.95236,0.009552,0
0.090259,0.95105,0.0097976,0
0.087474,0.94974,0.010045,0
0.084779,0.94841,0.010292,0
0.081947,0.94708,0.01054,0
0.078984,0.94573,0.010789,0
0.076117,0.94438,0.011041,0
0.073368,0.94302,0.011292,0
0.070483,0.94166,0.011544,0
0.067485,0.94028,0.011798,0
0.064513,0.93889,0.012053,0
0.061689,0.9375,0.012308,0
0.058785,0.93609,0.012564,0
0.055786,0.93468,0.012822,0
0.052674,0.93326,0.013081,0
0.049747,0.93183,0.013341,0
0.046861,0.93039,0.013601,0
0.043839,0.92894,0.013862,0
0.040657,0.92749,0.014125,0
0.037574,0.92602,0.014389,0
0.034671,0.92455,0.014653,0
0.031626,0.92306,0.014918,0
0.028546,0.92157,0.015184,0
0.025222,0.92007,0.015452,0
0.022166,0.91855,0.015721,0
0.019242,0.91703,0.015989,0
0.016098,0.9155,0.016259,0
0.012913,0.91396,0.01653,0
0.0095686,0.91242,0.016803,0
0.0065012,0.91086,0.017076,0
0.0034812,0.90929,0.017349,0
0.00029765,0.90771,0.017623,0
-0.0029864,0.90613,0.017899,0
-0.0063831,0.90453,0.018177,0
-0.0094863,0.90293,0.018455,0
-0.012568,0.90132,0.018732,0
-0.015802,0.89969,0.019011,0
-0.019137,0.89806,0.019291,0
-0.022641,0.89642,0.019573,0
-0.025805,0.89477,0.019856,0
-0.028899,0.89311,0.020137,0
-0.032187,0.89144,0.02042,0
-0.035504,0.88976,0.020704,0
-0.039173,0.88807,0.020991,0
-0.042438,0.88637,0.021278,0
-0.045491,0.88466,0.021563,0
-0.048839,0.88294,0.02185,0
-0.052143,0.88122,0.022138,0
-0.055855,0.87948,0.022428,0
-0.059309,0.87773,0.02272,0
-0.062418,0.87598,0.023009,0
-0.065747,0.87421,0.0233,0
-0.069105,0.87244,0.023592,0
-0.072682,0.87065,0.023885,0
-0.076437,0.86886,0.02418,0
-0.07974,0.86705,0.024475,0
-0.082932,0.86524,0.024768,0
-0.08637,0.86342,0.025063,0
-0.089809,0.86158,0.02536,0
-0.093706,0.85974,0.025658,0
-0.09733,0.85789,0.025957,0
-0.10051,0.85603,0.026254,0
-0.10391,0.85416,0.026552,0
-0.10737,0.85228,0.026851,0
-0.11096,0.85039,0.027151,0
-0.11509,0.84849,0.027453,0
-0.11862,0.84658,0.027757,0
-0.12172,0.84466,0.028056,0
-0.12528,0.84273,0.028357,0
-0.12879,0.84079,0.02866,0
-0.13259,0.83884,0.028963,0
-0.13672,0.83688,0.029269,0
-0.14022,0.83492,0.029574,0
-0.14344,0.83294,0.029877,0
-0.14705,0.83095,0.03018,0
-0.15064,0.82896,0.030486,0
-0.1546,0.82695,0.030792,0
-0.15882,0.82493,0.0311,0
-0.16234,0.82291,0.031408,0
-0.16561,0.82088,0.031712,0
-0.16927,0.81883,0.032018,0
-0.17294,0.81678,0.032325,0
-0.177,0.81472,0.032633,0
-0.18141,0.81264,0.032943,0
-0.18497,0.81056,0.033252,0
-0.18819,0.80847,0.033558,0
-0.19188,0.80637,0.033864,0
-0.19557,0.80426,0.034172,0
-0.1996,0.80214,0.034481,0
-0.20425,0.80001,0.034791,0
-0.20794,0.79787,0.035102,0
-0.21106,0.79573,0.035407,0
-0.21478,0.79357,0.035713,0
-0.21847,0.7914,0.03602,0
-0.22243,0.78923,0.036329,0
-0.22733,0.78704,0.036639,0
-0.23127,0.78485,0.036951,0
-0.2343,0.78265,0.037255,0
-0.23799,0.78044,0.03756,0
-0.24168,0.77822,0.037866,0
-0.24563,0.77599,0.038173,0
-0.25037,0.77375,0.038482,0
-0.25476,0.7715,0.038791,0
-0.25803,0.76924,0.039096,0
-0.26144,0.76698,0.039398,0
-0.26515,0.7647,0.039701,0
-0.26901,0.76242,0.040006,0
-0.27339,0.76013,0.040311,0
-0.27838,0.75783,0.040618,0
-0.28207,0.75552,0.040924,0
-0.2851,0.7532,0.041222,0
-0.28883,0.75087,0.041521,0
-0.29258,0.74853,0.041822,0
-0.29669,0.74619,0.042123,0
-0.30187,0.74384,0.042426,0
-0.30621,0.74148,0.04273,0
-0.30922,0.73911,0.043025,0
-0.31268,0.73673,0.043319,0
-0.31636,0.73434,0.043614,0
-0.32029,0.73195,0.04391,0
-0.32482,0.72955,0.044207,0
-0.33012,0.72714,0.044505,0
-0.33379,0.72472,0.044802,0
-0.33659,0.72229,0.045089,0
-0.34023,0.71985,0.045377,0
-0.34391,0.71741,0.045666,0
-0.34801,0.71496,0.045955,0
-0.35318,0.7125,0.046246,0
-0.35787,0.71004,0.046538,0
-0.36091,0.70756,0.046822,0
-0.36404,0.70508,0.047102,0
-0.36764,0.70259,0.047383,0
-0.37142,0.70009,0.047664,0
-0.37567,0.69759,0.047946,0
-0.38149,0.69508,0.048229,0
-0.38556,0.69256,0.048513,0
-0.38791,0.69004,0.048784,0
-0.39129,0.6875,0.049054,0
-0.39476,0.68496,0.049326,0
-0.39863,0.68242,0.049598,0
-0.40324,0.67986,0.04987,0
-0.40881,0.6773,0.050144,0
-0.4123,0.67473,0.050415,0
-0.41464,0.67216,0.050674,0
-0.41801,0.66958,0.050934,0
-0.42146,0.66699,0.051194,0
-0.42541,0.6644,0.051455,0
-0.43045,0.6618,0.051717,0
-0.43558,0.65919,0.051979,0
-0.4385,0.65658,0.052234,0
-0.44088,0.65396,0.052481,0
-0.44408,0.65133,0.052727,0
-0.44746,0.6487,0.052975,0
-0.45139,0.64607,0.053223,0
-0.45674,0.64342,0.053471,0
-0.46136,0.64078,0.05372,0
-0.46368,0.63812,0.053958,0
-0.46605,0.63546,0.054189,0
-0.46904,0.6328,0.054421,0
-0.47231,0.63013,0.054653,0
-0.47618,0.62745,0.054885,0
-0.48174,0.62477,0.055118,0
-0.48587,0.62208,0.055351,0
-0.48769,0.61939,0.05557,0
-0.4901,0.6167,0.055784,0
-0.49299,0.61399,0.055999,0
-0.49627,0.61129,0.056213,0
-0.50022,0.60858,0.056428,0
-0.50619,0.60587,0.056643,0
-0.51005,0.60315,0.056859,0
-0.51145,0.60042,0.057055,0
-0.51399,0.59769,0.057248,0
-0.51696,0.59496,0.057441,0
-0.52052,0.59223,0.057634,0
-0.52488,0.58949,0.057828,0
-0.53145,0.58674,0.058021,0
-0.5358,0.584,0.058215,0
-0.53817,0.58125,0.058387,0
-0.54229,0.57849,0.058557,0
-0.54704,0.57573,0.058727,0
-0.55282,0.57297,0.058897,0
-0.55981,0.57021,0.059067,0
-0.5695,0.56744,0.059237,0
-0.5776,0.56467,0.059408,0
-0.58492,0.5619,0.059554,0
-0.59529,0.55912,0.059699,0
-0.60749,0.55634,0.059844,0
-0.62205,0.55356,0.059989,0
-0.63938,0.55077,0.060134,0
-0.66236,0.54799,0.060279,0
-0.68974,0.5452,0.060425,0
-0.72533,0.54241,0.060544,0
-0.77417,0.53962,0.060663,0
-0.83304,0.53682,0.060781,0
-0.90063,0.53403,0.0609,0
-0.97515,0.53123,0.061019,0
-1.0494,0.52843,0.061138,0
-1.1037,0.52563,0.061256,0
-1.1364,0.52283,0.061349,0
-1.1588,0.52002,0.061442,0
-1.1728,0.51722,0.061535,0
-1.1826,0.51441,0.061627,0
-1.1905,0.51161,0.06172,0
-1.1968,0.5088,0.061813,0
-1.1926,0.50599,0.061905,0
-1.1827,0.50319,0.061973,0
-1.1781,0.50038,0.062041,0
-1.1766,0.49757,0.062109,0
-1.178,0.49476,0.062176,0
-1.1815,0.49195,0.062244,0
-1.1857,0.48914,0.062312,0
-1.1805,0.48633,0.062379,0
-1.1703,0.48353,0.062423,0
-1.1655,0.48072,0.062466,0
-1.1639,0.47791,0.062509,0
-1.1651,0.4751,0.062552,0
-1.1685,0.4723,0.062595,0
-1.1724,0.46949,0.062638,0
-1.1678,0.46669,0.062681,0
-1.1586,0.46389,0.062702,0
-1.1543,0.46109,0.062722,0
-1.153,0.45829,0.062743,0
-1.1544,0.45549,0.062763,0
-1.1577,0.45269,0.062784,0
-1.1614,0.44989,0.062804,0
-1.1569,0.4471,0.062825,0
-1.148,0.44431,0.062823,0
-1.1439,0.44152,0.062822,0
-1.1427,0.43873,0.062821,0
-1.1441,0.43595,0.06282,0
-1.1473,0.43316,0.062819,0
-1.1508,0.43038,0.062818,0
-1.1464,0.42761,0.062816,0
-1.1382,0.42483,0.062794,0
-1.1345,0.42206,0.062773,0
-1.1335,0.41929,0.062751,0
-1.1351,0.41652,0.062729,0
-1.1383,0.41376,0.062708,0
-1.1414,0.411,0.062686,0
-1.1372,0.40824,0.062663,0
-1.1295,0.40549,0.062622,0
-1.1262,0.40274,0.062582,0
-1.1256,0.39999,0.062541,0
-1.1273,0.39725,0.0625,0
-1.1306,0.39451,0.06246,0
-1.1332,0.39178,0.062419,0
-1.1286,0.38905,0.062376,0
-1.1213,0.38632,0.062316,0
-1.1182,0.3836,0.062257,0
-1.1177,0.38088,0.062197,0
-1.1196,0.37817,0.062138,0
