"Pressure_Coefficient","Points:0","Points:1","Points:2"
0.64075,0,0,0
0.17815,1,0.00012808,0
0.21677,1,3.5e-05,0
0.16828,0.99902,0.00033489,0
0.16232,0.99804,0.00054318,0
0.16278,0.99704,0.00075079,0
0.16199,0.99604,0.00095979,0
0.16092,0.99504,0.0011686,0
0.15958,0.99402,0.0013786,0
0.15817,0.993,0.0015892,0
0.15666,0.99197,0.0018007,0
0.15515,0.99093,0.0020134,0
0.15358,0.98989,0.0022262,0
0.15194,0.98884,0.0024406,0
0.15035,0.98778,0.0026553,0
0.14863,0.98671,0.002871,0
0.14694,0.98564,0.0030881,0
0.14525,0.98456,0.0033053,0
0.14344,0.98347,0.003524,0
0.14169,0.98237,0.0037439,0
0.1399,0.98127,0.0039641,0
0.13802,0.98015,0.0041858,0
0.1362,0.97903,0.0044085,0
0.13435,0.97791,0.0046316,0
0.1324,0.97677,0.0048561,0
0.13051,0.97563,0.0050818,0
0.12861,0.97447,0.0053077,0
0.12657,0.97332,0.0055351,0
0.12462,0.97215,0.005764,0
0.12267,0.97097,0.0059927,0
0.12058,0.96979,0.006223,0
0.11854,0.9686,0.0064548,0
0.11653,0.9674,0.0066868,0
0.11443,0.96619,0.0069199,0
0.11227,0.96497,0.0071545,0
0.11018,0.96375,0.0073902,0
0.10809,0.96252,0.0076259,0
0.10586,0.96128,0.0078631,0
0.10367,0.96003,0.008102,0
0.10152,0.95877,0.008341,0
0.099329,0.95751,0.0085808,0
0.097018,0.95623,0.0088222,0
0.09477,0.95495,0.0090651,0
0.092561,0.95366,0.0093079,0
0.090267,0.95236,0.009552,0
0.087872,0.95105,0.0097976,0
0.085553,0.94974,0.010045,0
0.083282,0.94841,0.010292,0
0.080904,0.94708,0.01054,0
0.078436,0.94573,0.010789,0
0.076033,0.94438,0.011041,0
0.073697,0.94302,0.011292,0
0.071253,0.94166,0.011544,0
0.068732,0.94028,0.011798,0
0.066225,0.93889,0.012053,0
0.063813,0.9375,0.012308,0
0.061326,0.93609,0.012564,0
0.058775,0.93468,0.012822,0
0.056141,0.93326,0.013081,0
0.053632,0.93183,0.013341,0
0.051134,0.93039,0.013601,0
0.048533,0.92894,0.013862,0
0.045821,0.92749,0.014125,0
0.043177,0.92602,0.014389,0
0.040647,0.92455,0.014653,0
0.037995,0.92306,0.014918,0
0.035328,0.92157,0.015184,0
0.032482,0.92007,0.015452,0
0.029825,0.91855,0.015721,0
0.027242,0.91703,0.015989,0
0.024485,0.9155,0.016259,0
0.021714,0.91396,0.01653,0
0.018821,0.91242,0.016803,0
0.016122,0.91086,0.017076,0
0.013434,0.90929,0.017349,0
0.010621,0.90771,0.017623,0
0.0077478,0.90613,0.017899,0
0.0047872,0.90453,0.018177,0
0.0020319,0.90293,0.018455,0
-0.00073093,0.90132,0.018732,0
-0.00361,0.89969,0.019011,0
-0.0065494,0.89806,0.019291,0
-0.0096163,0.89642,0.019573,0
-0.012441,0.89477,0.019856,0
-0.015241,0.89311,0.020137,0
-0.018193,0.89144,0.02042,0
-0.021144,0.88976,0.020704,0
-0.024359,0.88807,0.020991,0
-0.02728,0.88637,0.021278,0
-0.030072,0.88466,0.021563,0
-0.033101,0.88294,0.02185,0
-0.03607,0.88122,0.022138,0
-0.039342,0.87948,0.022428,0
-0.042423,0.87773,0.02272,0
-0.045273,0.87598,0.023009,0
-0.048309,0.87421,0.0233,0
-0.051353,0.87244,0.023592,0
-0.054546,0.87065,0.023885,0
-0.057871,0.86886,0.02418,0
-0.060872,0.86705,0.024475,0
-0.063819,0.86524,0.024768,0
-0.06696,0.86342,0.025063,0
-0.070074,0.86158,0.02536,0
-0.073523,0.85974,0.025658,0
-0.076769,0.85789,0.025957,0
-0.079711,0.85603,0.026254,0
-0.082848,0.85416,0.026552,0
-0.086017,0.85228,0.026851,0
-0.089248,0.85039,0.027151,0
-0.092887,0.84849,0.027453,0
-0.096079,0.84658,0.027757,0
-0.098993,0.84466,0.028056,0
-0.10227,0.84273,0.028357,0
-0.10548,0.84079,0.02866,0
-0.10888,0.83884,0.028963,0
-0.11253,0.83688,0.029269,0
-0.11572,0.83492,0.029574,0
-0.11874,0.83294,0.029877,0
-0.12206,0.83095,0.03018,0
-0.12534,0.82896,0.030486,0
-0.12887,0.82695,0.030792,0
-0.13258,0.82493,0.0311,0
-0.13579,0.82291,0.031408,0
-0.13887,0.82088,0.031712,0
-0.14224,0.81883,0.032018,0
-0.14558,0.81678,0.032325,0
-0.14918,0.81472,0.032633,0
-0.15303,0.81264,0.032943,0
-0.15627,0.81056,0.033252,0
-0.15932,0.80847,0.033558,0
-0.16272,0.80637,0.033864,0
-0.16608,0.80426,0.034172,0
-0.16966,0.80214,0.034481,0
-0.17368,0.80001,0.034791,0
-0.17701,0.79787,0.035102,0
-0.17998,0.79573,0.035407,0
-0.18342,0.79357,0.035713,0
-0.18679,0.7914,0.03602,0
-0.19031,0.78923,0.036329,0
-0.19449,0.78704,0.036639,0
-0.19798,0.78485,0.036951,0
-0.20088,0.78265,0.037255,0
-0.20431,0.78044,0.03756,0
-0.20768,0.77822,0.037866,0
-0.2112,0.77599,0.038173,0
-0.21524,0.77375,0.038482,0
-0.21903,0.7715,0.038791,0
-0.22208,0.76924,0.039096,0
-0.2253,0.76698,0.039398,0
-0.2287,0.7647,0.039701,0
-0.23217,0.76242,0.040006,0
-0.23594,0.76013,0.040311,0
-0.24013,0.75783,0.040618,0
-0.24343,0.75552,0.040924,0
-0.24637,0.7532,0.041222,0
-0.24982,0.75087,0.041521,0
-0.25322,0.74853,0.041822,0
-0.25681,0.74619,0.042123,0
-0.26109,0.74384,0.042426,0
-0.26481,0.74148,0.04273,0
-0.2677,0.73911,0.043025,0
-0.27099,0.73673,0.043319,0
-0.27438,0.73434,0.043614,0
-0.27789,0.73195,0.04391,0
-0.28172,0.72955,0.044207,0
-0.28605,0.72714,0.044505,0
-0.28935,0.72472,0.044802,0
-0.2922,0.72229,0.045089,0
-0.29565,0.71985,0.045377,0
-0.29906,0.71741,0.045666,0
-0.30268,0.71496,0.045955,0
-0.30692,0.7125,0.046246,0
-0.31087,0.71004,0.046538,0
-0.31389,0.70756,0.046822,0
-0.31709,0.70508,0.047102,0
-0.32057,0.70259,0.047383,0
-0.32414,0.70009,0.047664,0
-0.32788,0.69759,0.047946,0
-0.33258,0.69508,0.048229,0
-0.33625,0.69256,0.048513,0
-0.33909,0.69004,0.048784,0
-0.3427,0.6875,0.049054,0
-0.34628,0.68496,0.049326,0
-0.3501,0.68242,0.049598,0
-0.35425,0.67986,0.04987,0
-0.35897,0.6773,0.050144,0
-0.36264,0.67473,0.050415,0
-0.36592,0.67216,0.050674,0
-0.3699,0.66958,0.050934,0
-0.37389,0.66699,0.051194,0
-0.37816,0.6644,0.051455,0
-0.38297,0.6618,0.051717,0
-0.3879,0.65919,0.051979,0
-0.39193,0.65658,0.052234,0
-0.39601,0.65396,0.052481,0
-0.40064,0.65133,0.052727,0
-0.40541,0.6487,0.052975,0
-0.41049,0.64607,0.053223,0
-0.41628,0.64342,0.053471,0
-0.42191,0.64078,0.05372,0
-0.42687,0.63812,0.053958,0
-0.43229,0.63546,0.054189,0
-0.43816,0.6328,0.054421,0
-0.44434,0.63013,0.054653,0
-0.45089,0.62745,0.054885,0
-0.45829,0.62477,0.055118,0
-0.46544,0.62208,0.055351,0
-0.47226,0.61939,0.05557,0
-0.47987,0.6167,0.055784,0
-0.48795,0.61399,0.055999,0
-0.49653,0.61129,0.056213,0
-0.50559,0.60858,0.056428,0
-0.51569,0.60587,0.056643,0
-0.5256,0.60315,0.056859,0
-0.53556,0.60042,0.057055,0
-0.54667,0.59769,0.057248,0
-0.55838,0.59496,0.057441,0
-0.57086,0.59223,0.057634,0
-0.58408,0.58949,0.057828,0
-0.59862,0.58674,0.058021,0
-0.61341,0.584,0.058215,0
-0.62886,0.58125,0.058387,0
-0.64605,0.57849,0.058557,0
-0.6644,0.57573,0.058727,0
-0.68434,0.57297,0.058897,0
-0.70637,0.57021,0.059067,0
-0.73261,0.56744,0.059237,0
-0.76316,0.56467,0.059408,0
-0.79937,0.5619,0.059554,0
-0.84503,0.55912,0.059699,0
-0.90118,0.55634,0.059844,0
-0.97044,0.55356,0.059989,0
-1.0558,0.55077,0.060134,0
-1.1529,0.54799,0.060279,0
-1.2347,0.5452,0.060425,0
-1.2886,0.54241,0.060544,0
-1.3225,0.53962,0.060663,0
-1.3409,0.53682,0.060781,0
-1.3509,0.53403,0.0609,0
-1.3571,0.53123,0.061019,0
-1.361,0.52843,0.061138,0
-1.3546,0.52563,0.061256,0
-1.3434,0.52283,0.061349,0
-1.3383,0.52002,0.061442,0
-1.3367,0.51722,0.061535,0
-1.3379,0.51441,0.061627,0
-1.3408,0.51161,0.06172,0
-1.3436,0.5088,0.061813,0
-1.3373,0.50599,0.061905,0
-1.3267,0.50319,0.061973,0
-1.322,0.50038,0.062041,0
-1.3206,0.49757,0.062109,0
-1.3219,0.49476,0.062176,0
-1.3248,0.49195,0.062244,0
-1.3277,0.48914,0.062312,0
-1.3215,0.48633,0.062379,0
-1.3111,0.48353,0.062423,0
-1.3064,0.48072,0.062466,0
-1.3051,0.47791,0.062509,0
-1.3064,0.4751,0.062552,0
-1.3092,0.4723,0.062595,0
-1.3121,0.46949,0.062638,0
-1.3067,0.46669,0.062681,0
-1.2973,0.46389,0.062702,0
-1.2933,0.46109,0.062722,0
-1.2923,0.45829,0.062743,0
-1.2937,0.45549,0.062763,0
-1.2966,0.45269,0.062784,0
-1.2994,0.44989,0.062804,0
-1.2941,0.4471,0.062825,0
-1.2852,0.44431,0.062823,0
-1.2814,0.44152,0.062822,0
-1.2805,0.43873,0.062821,0
-1.282,0.43595,0.06282,0
-1.285,0.43316,0.062819,0
-1.2876,0.43038,0.062818,0
-1.2827,0.42761,0.062816,0
-1.2744,0.42483,0.062794,0
-1.271,0.42206,0.062773,0
-1.2705,0.41929,0.062751,0
-1.2721,0.41652,0.062729,0
-1.2751,0.41376,0.062708,0
-1.2775,0.411,0.062686,0
-1.2727,0.40824,0.062663,0
-1.2651,0.40549,0.062622,0
-1.2622,0.40274,0.062582,0
-1.2619,0.39999,0.062541,0
-1.2638,0.39725,0.0625,0
-1.2668,0.39451,0.06246,0
-1.2687,0.39178,0.062419,0
-1.2638,0.38905,0.062376,0
-1.2566,0.38632,0.062316,0
-1.2539,0.3836,0.062257,0
-1.2538,0.38088,0.062197,0
-1.2559,0.37817,0.062138,0
-1.259,0.37546,0.062079,0
-1.2602,0.37275,0.06202,0
-1.2548,0.37005,0.061956,0
-1.2481,0.36736,0.061878,0
-1.2457,0.36467,0.0618,0
-1.2459,0.36199,0.061722,0
-1.2481,0.35931,0.061645,0
-1.2513,0.35663,0.061567,0
-1.2516,0.35396,0.06149,0
-1.2459,0.3513,0.061405,0
-1.24,0.34864,0.06131,0
-1.2381,0.34599,0.061215,0
-1.2387,0.34334,0.061119,0
-1.2413,0.3407,0.061024,0
-1.2445,0.33807,0.06093,0
-1.2436,0.33544,0.060835,0
-1.2373,0.33281,0.060731,0
-1.2323,0.3302,0.060618,0
-1.2309,0.32759,0.060506,0
-1.2321,0.32498,0.060394,0
-1.235,0.32238,0.060282,0
-1.2383,0.31979,0.060171,0
-1.2358,0.31721,0.06006,0
-1.2289,0.31463,0.059935,0
-1.2252,0.31206,0.059807,0
-1.2246,0.30949,0.059679,0
-1.2264,0.30693,0.059551,0
-1.2298,0.30438,0.059424,0
-1.2328,0.30184,0.059297,0
-1.2285,0.2993,0.05917,0
-1.2213,0.29677,0.059026,0
-1.2188,0.29425,0.058883,0
-1.2192,0.29173,0.05874,0
-1.2217,0.28922,0.058597,0
-1.2253,0.28672,0.058455,0
-1.226,0.28423,0.058314,0
-1.2207,0.28174,0.058166,0
-1.2151,0.27927,0.058008,0
-1.2137,0.2768,0.05785,0
-1.2148,0.27433,0.057693,0
-1.218,0.27188,0.057537,0
-1.2216,0.26943,0.057381,0
-1.2195,0.26699,0.057225,0
-1.2131,0.26456,0.057057,0
-1.2097,0.26214,0.056886,0
-1.2097,0.25972,0.056716,0
-1.212,0.25732,0.056546,0
-1.2157,0.25492,0.056376,0
-1.2177,0.25253,0.056208,0
-1.2128,0.25015,0.056035,0
-1.2063,0.24777,0.055851,0
-1.2046,0.24541,0.055667,0
-1.2058,0.24305,0.055483,0
-1.2092,0.2407,0.055301,0
-1.2131,0.23836,0.055119,0
-1.211,0.23603,0.054937,0
-1.2044,0.23371,0.054744,0
-1.2009,0.2314,0.054547,0
-1.2011,0.22909,0.054351,0
-1.2037,0.2268,0.054156,0
-1.2077,0.22451,0.053961,0
-1.209,0.22223,0.053768,0
-1.2039,0.21997,0.053569,0
-1.1985,0.21771,0.05336,0
-1.1976,0.21546,0.053153,0
-1.1995,0.21322,0.052946,0
-1.2036,0.21098,0.05274,0
-1.2074,0.20876,0.052535,0
-1.203,0.20654,0.052329,0
-1.1955,0.20434,0.052109,0
-1.1936,0.20215,0.05189,0
-1.195,0.19996,0.051672,0
-1.1989,0.19778,0.051454,0
-1.2033,0.19562,0.051238,0
-1.201,0.19346,0.051022,0
-1.1943,0.19131,0.050794,0
-1.1918,0.18917,0.050564,0
-1.1929,0.18704,0.050336,0
-1.1967,0.18492,0.050108,0
-1.2013,0.18281,0.049882,0
-1.1998,0.18071,0.049656,0
-1.1932,0.17862,0.04942,0
-1.1897,0.17654,0.04918,0
-1.1905,0.17446,0.048942,0
-1.1943,0.1724,0.048704,0
-1.1991,0.17035,0.048468,0
-1.1977,0.1683,0.048232,0
-1.1908,0.16627,0.047987,0
-1.187,0.16425,0.047737,0
-1.1878,0.16223,0.047488,0
-1.1918,0.16023,0.047241,0
-1.1968,0.15824,0.046994,0
-1.1952,0.15625,0.046749,0
-1.1886,0.15428,0.046493,0
-1.186,0.15231,0.046235,0
-1.1877,0.15036,0.045978,0
-1.1924,0.14841,0.045722,0
-1.1977,0.14648,0.045467,0
-1.194,0.14455,0.045214,0
-1.1861,0.14263,0.044947,0
-1.1846,0.14073,0.04468,0
-1.1873,0.13883,0.044414,0
-1.1926,0.13695,0.044149,0
-1.1958,0.13507,0.043886,0
-1.1906,0.1332,0.043621,0
-1.1841,0.13135,0.043344,0
-1.1842,0.1295,0.043069,0
-1.1881,0.12767,0.042795,0
-1.1938,0.12584,0.042523,0
-1.1934,0.12402,0.042252,0
-1.1875,0.12222,0.041973,0
-1.1849,0.12042,0.04169,0
-1.1875,0.11863,0.041408,0
-1.193,0.11686,0.041128,0
-1.197,0.11509,0.040849,0
-1.1918,0.11333,0.040569,0
-1.185,0.11159,0.040277,0
-1.1856,0.10985,0.039987,0
-1.1905,0.10812,0.039698,0
-1.1968,0.1064,0.039411,0
-1.1937,0.1047,0.039125,0
-1.1855,0.103,0.038827,0
-1.1844,0.10131,0.038528,0
-1.1887,0.099635,0.03823,0
-1.1954,0.097967,0.037935,0
-1.1955,0.096309,0.037641,0
-1.1896,0.094661,0.037338,0
-1.1881,0.093024,0.037032,0
-1.1926,0.091396,0.036728,0
-1.1997,0.089777,0.036425,0
-1.2004,0.088167,0.036125,0
-1.1939,0.086569,0.035816,0
-1.1915,0.084981,0.035502,0
-1.1962,0.083402,0.03519,0
-1.2038,0.081832,0.034879,0
-1.2032,0.080272,0.034571,0
-1.195,0.078723,0.034252,0
-1.1929,0.077184,0.033929,0
-1.1984,0.075655,0.033608,0
-1.2067,0.074134,0.033289,0
-1.2047,0.072623,0.032972,0
-1.1974,0.071123,0.032641,0
-1.1993,0.069634,0.032311,0
-1.2072,0.068153,0.031983,0
-1.2139,0.066681,0.031656,0
-1.2099,0.065218,0.031328,0
-1.2052,0.063768,0.030989,0
-1.2108,0.062326,0.030652,0
-1.2199,0.060893,0.030317,0
-1.2183,0.059469,0.029984,0
-1.2084,0.058057,0.029639,0
-1.2077,0.056655,0.02929,0
-1.2155,0.055262,0.028943,0
-1.2203,0.053878,0.028598,0
-1.2135,0.052504,0.028249,0
-1.2091,0.051142,0.027889,0
-1.2165,0.049788,0.027531,0
-1.2254,0.048443,0.027176,0
-1.222,0.047106,0.02682,0
-1.2171,0.045783,0.026452,0
-1.2257,0.044468,0.026085,0
-1.2359,0.043161,0.025721,0
-1.2274,0.041863,0.025358,0
-1.2155,0.04058,0.024975,0
-1.2228,0.039305,0.024595,0
-1.2314,0.038038,0.024217,0
-1.2196,0.03678,0.023837,0
-1.2063,0.035538,0.023437,0
-1.2147,0.034304,0.023039,0
-1.2209,0.033078,0.022644,0
-1.2124,0.031863,0.022243,0
-1.2097,0.030661,0.021828,0
-1.2233,0.029467,0.021416,0
-1.2239,0.028281,0.021007,0
-1.2159,0.027109,0.020581,0
-1.2246,0.025947,0.020153,0
-1.2318,0.024793,0.019727,0
-1.2114,0.023651,0.019294,0
-1.1961,0.022526,0.018838,0
-1.2091,0.021409,0.018384,0
-1.1926,0.0203,0.017933,0
-1.1673,0.019213,0.01745,0
-1.1785,0.018134,0.016968,0
-1.1681,0.017063,0.016489,0
-1.141,0.016014,0.015982,0
-1.1447,0.014976,0.015468,0
-1.1276,0.013946,0.014958,0
-1.088,0.012941,0.014416,0
-1.0832,0.01195,0.013864,0
-1.0419,0.010967,0.013315,0
-0.97503,0.010019,0.01272,0
-0.97153,0.0090874,0.012116,0
-0.9245,0.0081617,0.011515,0
-0.87225,0.0072853,0.010858,0
-0.88277,0.006415,0.010204,0
-0.85878,0.0055712,0.0095307,0
-0.86208,0.0047707,0.0088161,0
-0.77639,0.0039757,0.0081064,0
-0.62267,0.0032784,0.0073125,0
-0.51439,0.002604,0.0065067,0
-0.34345,0.0019925,0.005665,0
-0.2178,0.0014574,0.0047778,0
-0.073507,0.00095103,0.0038842,0
-0.0059863,0.00056362,0.002939,0
0.20398,0.00018737,0.0019984,0
0.45577,9.3354e-05,0.00099563,0
0.77738,9.3725e-05,-0.0009956,0
0.92056,0.00018812,-0.0019983,0
1.0388,0.00056505,-0.0029386,0
1.0881,0.00095313,-0.0038836,0
1.1276,0.0014587,-0.0047776,0
1.1383,0.0019928,-0.0056653,0
1.1352,0.0026023,-0.0065086,0
1.1236,0.0032738,-0.0073167,0
1.1014,0.0039681,-0.0081133,0
1.0731,0.004759,-0.0088273,0
1.0543,0.0055554,-0.0095465,0
1.0196,0.0063941,-0.010226,0
0.99948,0.0072588,-0.010887,0
0.96672,0.0081295,-0.011552,0
0.93501,0.0090487,-0.012162,0
0.91926,0.0099742,-0.012777,0
0.88227,0.010915,-0.013382,0
0.85779,0.011891,-0.013943,0
0.84325,0.012874,-0.014508,0
0.81161,0.013872,-0.015062,0
0.7918,0.014895,-0.015587,0
0.77777,0.015925,-0.016115,0
0.74935,0.016968,-0.016636,0
0.73081,0.018032,-0.017131,0
0.72005,0.019103,-0.017628,0
0.69172,0.020182,-0.018127,0
0.67334,0.021285,-0.018594,0
0.66738,0.022395,-0.019063,0
0.64311,0.023513,-0.019536,0
0.62419,0.024649,-0.019984,0
0.61849,0.025797,-0.020425,0
0.60576,0.026953,-0.020869,0
0.58566,0.028118,-0.02131,0
0.57401,0.0293,-0.021732,0
0.5671,0.030488,-0.022158,0
0.54841,0.031685,-0.022587,0
0.53222,0.032895,-0.023001,0
0.52498,0.034117,-0.023408,0
0.51546,0.035347,-0.023817,0
0.49503,0.036585,-0.024229,0
0.48257,0.037839,-0.024619,0
0.48055,0.039103,-0.025006,0
0.47117,0.040375,-0.025396,0
0.45265,0.041655,-0.025789,0
0.44299,0.04295,-0.026159,0
0.44278,0.044255,-0.02653,0
0.43417,0.045567,-0.026903,0
0.41891,0.046889,-0.027279,0
0.40949,0.048223,-0.02764,0
0.40694,0.049566,-0.027999,0
0.39853,0.050919,-0.028362,0
0.38436,0.052279,-0.028726,0
0.37352,0.053652,-0.029079,0
0.37077,0.055035,-0.029425,0
0.36503,0.056427,-0.029774,0
0.35383,0.057828,-0.030125,0
0.34078,0.059239,-0.030472,0
0.3366,0.060663,-0.030804,0
0.33586,0.062095,-0.031138,0
0.32843,0.063536,-0.031475,0
0.31642,0.064987,-0.031813,0
0.30876,0.066449,-0.032139,0
0.3078,0.067921,-0.032463,0
0.30249,0.069401,-0.032789,0
0.29381,0.070891,-0.033116,0
0.28212,0.07239,-0.033444,0
0.27692,0.073902,-0.033757,0
0.27652,0.075423,-0.034072,0
0.26978,0.076952,-0.03439,0
0.26011,0.078491,-0.034709,0
0.25006,0.08004,-0.035023,0
0.24713,0.081601,-0.035326,0
0.24655,0.083171,-0.035631,0
0.24045,0.08475,-0.035937,0
0.23161,0.086338,-0.036246,0
0.22309,0.087937,-0.036549,0
0.22082,0.089547,-0.036843,0
0.21981,0.091166,-0.037138,0
0.21408,0.092795,-0.037436,0
0.20614,0.094432,-0.037735,0
0.19783,0.09608,-0.03803,0
0.19491,0.097739,-0.038317,0
0.19389,0.099408,-0.038605,0
0.1882,0.10109,-0.038895,0
0.18084,0.10277,-0.039186,0
0.17125,0.10447,-0.039477,0
0.1675,0.10618,-0.039754,0
0.16836,0.1079,-0.040033,0
0.16376,0.10962,-0.040313,0
0.15736,0.11136,-0.040595,0
0.14825,0.11311,-0.040879,0
0.14296,0.11487,-0.04115,0
0.14352,0.11663,-0.041419,0
0.14093,0.11841,-0.04169,0
0.13542,0.1202,-0.041962,0
0.12837,0.12199,-0.042236,0
0.12102,0.1238,-0.042506,0
0.11874,0.12562,-0.042767,0
0.11837,0.12745,-0.043029,0
0.1138,0.12928,-0.043293,0
0.10779,0.13113,-0.043558,0
0.099304,0.13298,-0.043824,0
0.094144,0.13485,-0.044079,0
0.094614,0.13673,-0.044331,0
