"Time_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
          0,          49,                 0,       -6.53984623,      -4.024240042,      -4.525603378,      -1.086245886,     0.06088926657,       66.01568045,    0.004765575545,                 0,                 0,                 0,   0.0001785977165,       66.01568045,    0.004765575545,                 0,   7.218853934e-05,      0.1467781627,     -0.8631713192,       -1.93531525,      -1.440351005,     -0.8720950203,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          1,          49,              0.02,      -6.927822078,      -4.290362981,      -4.629128384,      -1.473480217,     0.06088926657,       59.60078952,  -0.0001348667531,                 0,                 0,                 0,     0.01377495274,       59.60078952,  -0.0001348667531,                 0,  -2.262835008e-06,      0.1467781627,     -0.3832116976,     -0.2604753562,     -0.1015340845,     -0.3827393994,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          2,          49,              0.04,      -6.974399908,      -4.260011776,      -4.621421949,      -1.515196253,     0.06088926657,       57.79240116,     0.06695239914,                 0,                 0,                 0,   -0.008679058894,       57.79240116,     0.06695239914,                 0,    0.001158498311,      0.1467781627,    -0.07896166213,    -0.02540713434,     -0.1582433733,    -0.07496036092,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          3,          49,              0.06,       -6.64770292,      -4.287229989,      -4.636197409,      -1.182640222,     0.06088926657,       41.38804492,      0.4277518563,                 0,                 0,                 0,    -0.09682943622,       41.38804492,      0.4277518563,                 0,     0.01033515493,      0.1492497202,                 0,     -0.1747119393,     -0.3813904068,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          4,          49,              0.08,       -6.52884799,      -4.783330575,      -5.081977735,      -1.066005757,     0.06088926657,       11.32283424,      0.7878017126,                 0,                 0,                 0,     -0.1849097216,       11.32283424,      0.7878017126,                 0,     0.06957637071,      0.1498714819,                 0,     -0.6620281601,     -0.8249327813,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          5,          49,               0.1,      -6.594256203,      -4.586185519,      -4.687150617,      -1.141084245,     0.06088926657,      -11.42069823,       1.220656762,                 0,                 0,                 0,     -0.2902344983,      -11.42069823,       1.220656762,                 0,     -0.1068810975,      0.1498714819,     -0.1317884132,     -0.3665666698,     -0.3875711821,     -0.1401989843,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          6,          49,              0.12,      -6.828557562,      -4.431945532,       -4.55056825,      -1.392032276,     0.06088926657,      -21.74874638,       1.608096986,                 0,                 0,                 0,     -0.3842817742,      -21.74874638,       1.608096986,                 0,    -0.07393975535,      0.1498714819,     -0.3512619266,     -0.2844386557,     -0.3121806243,     -0.3703339784,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          7,          49,              0.14,      -7.176204656,      -4.416827868,      -4.525738401,       -1.80924405,     0.06088926657,       -22.2209156,        1.68016293,                 0,                 0,                 0,     -0.4042145208,       -22.2209156,        1.68016293,                 0,     -0.0756117777,      0.1498714819,     -0.6540495052,     -0.3521984372,     -0.3653493471,     -0.7405973391,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          8,          49,              0.16,      -6.871580067,      -4.515417535,      -4.613137106,      -1.414260189,     0.06088926657,       -13.6601548,       1.280542952,                 0,                 0,                 0,      -0.312149211,       -13.6601548,       1.280542952,                 0,    -0.09374293122,      0.1473999244,     -0.3768788268,     -0.5118902439,     -0.5214553411,     -0.3744503981,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          9,          49,              0.18,       -6.70921169,      -4.873982226,       -4.96958352,      -1.247157918,     0.06088926657,      0.8948531179,      0.5844381845,                 0,                 0,                 0,     -0.1498971608,      0.8948531179,      0.5844381845,                 0,      0.6531107427,      0.1622787305,     -0.3021386684,     -0.9120625563,     -0.9247898123,     -0.2979270843,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
