"Pressure_Coefficient","Points:0","Points:1","Points:2"
0.17385,0.0009992,3.9968e-05,0
0.057637,0.0020075,8.0298e-05,0
0.034989,0.0030248,0.00012099,0
0.031848,0.0040513,0.00016205,0
0.032534,0.005087,0.00020348,0
0.033915,0.0061319,0.00024528,0
0.035167,0.0071861,0.00028744,0
0.036127,0.0082496,0.00032998,0
0.03683,0.0093224,0.0003729,0
0.03734,0.010405,0.00041619,0
0.037711,0.011496,0.00045985,0
0.037984,0.012597,0.0005039,0
0.038185,0.013708,0.00054832,0
0.038331,0.014828,0.00059313,0
0.038437,0.015958,0.00063832,0
0.038514,0.017097,0.0006839,0
0.038573,0.018247,0.00072986,0
0.038617,0.019405,0.00077621,0
0.038652,0.020574,0.00082295,0
0.038679,0.021752,0.00087008,0
0.038699,0.02294,0.0009176,0
0.038711,0.024138,0.00096551,0
0.038716,0.025345,0.0010138,0
0.038715,0.026563,0.0010625,0
0.038711,0.02779,0.0011116,0
0.038703,0.029028,0.0011611,0
0.038693,0.030275,0.001211,0
0.03868,0.031532,0.0012613,0
0.038667,0.032799,0.001312,0
0.038653,0.034076,0.0013631,0
0.038637,0.035364,0.0014145,0
0.038621,0.036661,0.0014664,0
0.038604,0.037968,0.0015187,0
0.038586,0.039286,0.0015714,0
0.038569,0.040613,0.0016245,0
0.038552,0.041951,0.001678,0
0.038534,0.043299,0.001732,0
0.038517,0.044657,0.0017863,0
0.0385,0.046025,0.001841,0
0.038483,0.047403,0.0018961,0
0.038467,0.048791,0.0019516,0
0.03845,0.05019,0.0020076,0
0.038434,0.051598,0.0020639,0
0.038417,0.053017,0.0021207,0
0.0384,0.054446,0.0021778,0
0.038383,0.055885,0.0022354,0
0.038366,0.057334,0.0022934,0
0.03835,0.058794,0.0023518,0
0.038334,0.060263,0.0024105,0
0.038318,0.061743,0.0024697,0
0.038302,0.063233,0.0025293,0
0.038286,0.064733,0.0025893,0
0.03827,0.066243,0.0026497,0
0.038255,0.067763,0.0027105,0
0.03824,0.069293,0.0027717,0
0.038225,0.070833,0.0028333,0
0.038211,0.072384,0.0028953,0
0.038197,0.073944,0.0029578,0
0.038183,0.075514,0.0030206,0
0.038169,0.077094,0.0030838,0
0.038155,0.078684,0.0031474,0
0.038141,0.080284,0.0032114,0
0.038128,0.081894,0.0032758,0
0.038115,0.083514,0.0033406,0
0.038102,0.085144,0.0034057,0
0.03809,0.086783,0.0034713,0
0.038077,0.088432,0.0035373,0
0.038065,0.09009,0.0036036,0
0.038052,0.091759,0.0036704,0
0.03804,0.093437,0.0037375,0
0.038028,0.095124,0.003805,0
0.038016,0.096821,0.0038728,0
0.038005,0.098527,0.0039411,0
0.037993,0.10024,0.0040097,0
0.037982,0.10197,0.0040787,0
0.037971,0.1037,0.0041481,0
0.03796,0.10545,0.0042179,0
0.037949,0.1072,0.004288,0
0.037939,0.10896,0.0043584,0
0.037928,0.11073,0.0044293,0
0.037917,0.11251,0.0045005,0
0.037907,0.1143,0.004572,0
0.037897,0.1161,0.0046439,0
0.037887,0.1179,0.0047162,0
0.037877,0.11972,0.0047888,0
0.037867,0.12154,0.0048617,0
0.037857,0.12337,0.004935,0
0.037848,0.12521,0.0050086,0
0.037838,0.12706,0.0050825,0
0.037829,0.12892,0.0051568,0
0.037819,0.13079,0.0052314,0
0.03781,0.13266,0.0053064,0
0.037801,0.13454,0.0053816,0
0.037792,0.13643,0.0054572,0
0.037783,0.13833,0.005533,0
0.037774,0.14023,0.0056092,0
0.037766,0.14214,0.0056857,0
0.037757,0.14406,0.0057625,0
0.037749,0.14599,0.0058396,0
0.03774,0.14792,0.005917,0
0.037732,0.14987,0.0059946,0
0.037724,0.15181,0.0060726,0
0.037715,0.15377,0.0061508,0
0.037707,0.15573,0.0062293,0
0.037699,0.1577,0.006308,0
0.037691,0.15968,0.006387,0
0.037683,0.16166,0.0064663,0
0.037676,0.16365,0.0065459,0
0.037668,0.16564,0.0066257,0
0.03766,0.16764,0.0067057,0
0.037653,0.16965,0.006786,0
0.037646,0.17166,0.0068665,0
0.037638,0.17368,0.0069472,0
0.037631,0.1757,0.0070281,0
0.037624,0.17773,0.0071093,0
0.037617,0.17977,0.0071907,0
0.03761,0.18181,0.0072723,0
0.037603,0.18385,0.0073541,0
0.037596,0.1859,0.0074361,0
0.037589,0.18796,0.0075183,0
0.037582,0.19002,0.0076006,0
0.037575,0.19208,0.0076832,0
0.037568,0.19415,0.0077659,0
0.037562,0.19622,0.0078488,0
0.037555,0.1983,0.0079318,0
0.037549,0.20038,0.008015,0
0.037542,0.20246,0.0080984,0
0.037536,0.20455,0.0081819,0
0.03753,0.20664,0.0082655,0
0.037524,0.20873,0.0083493,0
0.037518,0.21083,0.0084332,0
0.037511,0.21293,0.0085172,0
0.037505,0.21503,0.0086013,0
0.037499,0.21714,0.0086856,0
0.037493,0.21925,0.0087699,0
0.037487,0.22136,0.0088543,0
0.037481,0.22347,0.0089388,0
0.037475,0.22559,0.0090234,0
0.03747,0.2277,0.0091081,0
0.037464,0.22982,0.0091928,0
0.037458,0.23194,0.0092776,0
0.037453,0.23406,0.0093625,0
0.037447,0.23618,0.0094474,0
0.037442,0.23831,0.0095323,0
0.037436,0.24043,0.0096173,0
0.037431,0.24256,0.0097023,0
0.037426,0.24468,0.0097874,0
0.037421,0.24681,0.0098724,0
0.037415,0.24894,0.0099575,0
0.03741,0.25106,0.010043,0
0.037405,0.25319,0.010128,0
0.0374,0.25532,0.010213,0
0.037395,0.25744,0.010298,0
0.03739,0.25957,0.010383,0
0.037385,0.26169,0.010468,0
0.03738,0.26382,0.010553,0
0.037375,0.26594,0.010638,0
0.03737,0.26806,0.010722,0
0.037365,0.27018,0.010807,0
0.03736,0.2723,0.010892,0
0.037356,0.27441,0.010977,0
0.037351,0.27653,0.011061,0
0.037347,0.27864,0.011146,0
0.037342,0.28075,0.01123,0
0.037337,0.28286,0.011314,0
0.037333,0.28497,0.011399,0
0.037329,0.28707,0.011483,0
0.037324,0.28917,0.011567,0
0.03732,0.29127,0.011651,0
0.037316,0.29336,0.011734,0
0.037311,0.29545,0.011818,0
0.037307,0.29754,0.011902,0
0.037303,0.29962,0.011985,0
0.037299,0.3017,0.012068,0
0.037295,0.30378,0.012151,0
0.037291,0.30585,0.012234,0
0.037287,0.30792,0.012317,0
0.037283,0.30998,0.012399,0
0.037279,0.31204,0.012482,0
0.037275,0.3141,0.012564,0
0.037272,0.31615,0.012646,0
0.037268,0.31819,0.012728,0
0.037264,0.32023,0.012809,0
0.037261,0.32227,0.012891,0
0.037257,0.3243,0.012972,0
0.037253,0.32632,0.013053,0
0.03725,0.32834,0.013134,0
0.037246,0.33035,0.013214,0
0.037243,0.33236,0.013294,0
0.03724,0.33436,0.013374,0
0.037236,0.33635,0.013454,0
0.037233,0.33834,0.013534,0
0.037229,0.34032,0.013613,0
0.037226,0.3423,0.013692,0
0.037222,0.34427,0.013771,0
0.037219,0.34623,0.013849,0
0.037216,0.34819,0.013927,0
0.037212,0.35013,0.014005,0
0.037209,0.35208,0.014083,0
0.037206,0.35401,0.01416,0
0.037202,0.35594,0.014238,0
0.037199,0.35786,0.014314,0
0.037196,0.35977,0.014391,0
0.037193,0.36167,0.014467,0
0.037189,0.36357,0.014543,0
0.037186,0.36546,0.014618,0
0.037183,0.36734,0.014694,0
0.03718,0.36921,0.014769,0
0.037177,0.37108,0.014843,0
0.037174,0.37294,0.014917,0
0.037171,0.37479,0.014991,0
0.037169,0.37663,0.015065,0
0.037166,0.37846,0.015138,0
0.037163,0.38028,0.015211,0
0.03716,0.3821,0.015284,0
0.037158,0.3839,0.015356,0
0.037155,0.3857,0.015428,0
0.037153,0.38749,0.0155,0
0.03715,0.38927,0.015571,0
0.037147,0.39104,0.015642,0
0.037145,0.3928,0.015712,0
0.037142,0.39455,0.015782,0
0.03714,0.3963,0.015852,0
0.037137,0.39803,0.015921,0
0.037135,0.39976,0.01599,0
0.037132,0.40147,0.016059,0
0.03713,0.40318,0.016127,0
0.037127,0.40488,0.016195,0
0.037124,0.40656,0.016263,0
0.037122,0.40824,0.01633,0
0.037119,0.40991,0.016396,0
0.037116,0.41157,0.016463,0
0.037114,0.41322,0.016529,0
0.037111,0.41486,0.016594,0
0.037108,0.41649,0.016659,0
0.037105,0.41811,0.016724,0
0.037102,0.41972,0.016789,0
0.037099,0.42132,0.016853,0
0.037096,0.42291,0.016916,0
0.037093,0.42449,0.016979,0
0.03709,0.42606,0.017042,0
0.037087,0.42762,0.017105,0
0.037084,0.42917,0.017167,0
0.037081,0.43071,0.017228,0
0.037078,0.43224,0.017289,0
0.037075,0.43376,0.01735,0
0.037072,0.43527,0.017411,0
0.037069,0.43677,0.017471,0
0.037066,0.43826,0.01753,0
0.037063,0.43974,0.017589,0
0.037059,0.44121,0.017648,0
0.037056,0.44267,0.017707,0
0.037053,0.44411,0.017765,0
0.03705,0.44555,0.017822,0
0.037047,0.44698,0.017879,0
0.037044,0.4484,0.017936,0
0.037042,0.44981,0.017992,0
0.037039,0.45121,0.018048,0
0.037036,0.4526,0.018104,0
0.037033,0.45398,0.018159,0
0.037031,0.45534,0.018214,0
0.037028,0.4567,0.018268,0
0.037026,0.45805,0.018322,0
0.037023,0.45939,0.018375,0
0.037021,0.46071,0.018429,0
0.037018,0.46203,0.018481,0
0.037016,0.46334,0.018534,0
0.037014,0.46464,0.018585,0
0.037012,0.46592,0.018637,0
0.03701,0.4672,0.018688,0
0.037009,0.46847,0.018739,0
0.037007,0.46973,0.018789,0
0.037005,0.47097,0.018839,0
0.037004,0.47221,0.018888,0
0.037002,0.47344,0.018937,0
0.037001,0.47465,0.018986,0
0.037,0.47586,0.019034,0
0.036999,0.47706,0.019082,0
0.036998,0.47825,0.01913,0
0.036997,0.47943,0.019177,0
0.036996,0.48059,0.019224,0
0.036996,0.48175,0.01927,0
0.036995,0.4829,0.019316,0
0.036995,0.48404,0.019362,0
0.036994,0.48517,0.019407,0
0.036994,0.48629,0.019452,0
0.036993,0.4874,0.019496,0
0.036992,0.4885,0.01954,0
0.036988,0.4896,0.019584,0
0.036985,0.49068,0.019627,0
0.036986,0.49175,0.01967,0
0.03703,0.49281,0.019713,0
0.037156,0.49387,0.019755,0
0.037456,0.49491,0.019797,0
0.037634,0.49595,0.019838,0
0.036714,0.49698,0.019879,0
0.030922,0.49799,0.01992,0
0.014556,0.499,0.01996,0
1.325,3.5087e-14,-4.9797e-16,0
-0.029642,0.5,0.02,0
-0.064402,0.501,0.01996,0
-0.067498,0.50201,0.01992,0
-0.067475,0.50302,0.019879,0
-0.067622,0.50405,0.019838,0
-0.068108,0.50509,0.019797,0
-0.068732,0.50613,0.019755,0
-0.069384,0.50719,0.019713,0
-0.070018,0.50825,0.01967,0
-0.070616,0.50932,0.019627,0
-0.071169,0.5104,0.019584,0
-0.071672,0.5115,0.01954,0
-0.072121,0.5126,0.019496,0
-0.072515,0.51371,0.019452,0
-0.072855,0.51483,0.019407,0
-0.073146,0.51596,0.019362,0
-0.073392,0.5171,0.019316,0
-0.073596,0.51825,0.01927,0
-0.073762,0.51941,0.019224,0
-0.073897,0.52057,0.019177,0
-0.074006,0.52175,0.01913,0
-0.074093,0.52294,0.019082,0
-0.074161,0.52414,0.019034,0
-0.074212,0.52535,0.018986,0
-0.074251,0.52656,0.018937,0
-0.074282,0.52779,0.018888,0
-0.074306,0.52903,0.018839,0
-0.074323,0.53027,0.018789,0
-0.074331,0.53153,0.018739,0
-0.074334,0.5328,0.018688,0
-0.074336,0.53408,0.018637,0
-0.07434,0.53536,0.018585,0
-0.074344,0.53666,0.018534,0
-0.074344,0.53797,0.018481,0
-0.074341,0.53929,0.018429,0
-0.074338,0.54061,0.018375,0
-0.074337,0.54195,0.018322,0
-0.074341,0.5433,0.018268,0
-0.074348,0.54466,0.018214,0
-0.074352,0.54602,0.018159,0
-0.074355,0.5474,0.018104,0
-0.074355,0.54879,0.018048,0
-0.074356,0.55019,0.017992,0
-0.074361,0.5516,0.017936,0
-0.074369,0.55302,0.017879,0
-0.074378,0.55445,0.017822,0
-0.074385,0.55589,0.017765,0
-0.07439,0.55733,0.017707,0
-0.074392,0.55879,0.017648,0
-0.074394,0.56026,0.017589,0
-0.074398,0.56174,0.01753,0
-0.074404,0.56323,0.017471,0
-0.074412,0.56473,0.017411,0
-0.07442,0.56624,0.01735,0
-0.074426,0.56776,0.017289,0
-0.074429,0.56929,0.017228,0
-0.074431,0.57083,0.017167,0
-0.074433,0.57238,0.017105,0
-0.074435,0.57394,0.017042,0
-0.07444,0.57551,0.016979,0
-0.074445,0.57709,0.016916,0
-0.074452,0.57868,0.016853,0
-0.074457,0.58028,0.016789,0
-0.074461,0.58189,0.016724,0
-0.074463,0.58351,0.016659,0
-0.074465,0.58514,0.016594,0
-0.074466,0.58678,0.016529,0
-0.074468,0.58843,0.016463,0
-0.07447,0.59009,0.016396,0
-0.074473,0.59176,0.01633,0
-0.074477,0.59344,0.016263,0
-0.074481,0.59512,0.016195,0
-0.074484,0.59682,0.016127,0
-0.074486,0.59853,0.016059,0
-0.074487,0.60024,0.01599,0
-0.074489,0.60197,0.015921,0
-0.074489,0.6037,0.015852,0
-0.074491,0.60545,0.015782,0
-0.074492,0.6072,0.015712,0
-0.074494,0.60896,0.015642,0
-0.074497,0.61073,0.015571,0
-0.0745,0.61251,0.0155,0
-0.074503,0.6143,0.015428,0
-0.074505,0.6161,0.015356,0
-0.074508,0.6179,0.015284,0
-0.07451,0.61972,0.015211,0
-0.074512,0.62154,0.015138,0
-0.074514,0.62337,0.015065,0
-0.074516,0.62521,0.014991,0
-0.074518,0.62706,0.014917,0
-0.074521,0.62892,0.014843,0
-0.074524,0.63079,0.014769,0
-0.074527,0.63266,0.014694,0
-0.07453,0.63454,0.014618,0
-0.074533,0.63643,0.014543,0
-0.074537,0.63833,0.014467,0
-0.07454,0.64023,0.014391,0
-0.074543,0.64214,0.014314,0
-0.074547,0.64406,0.014238,0
-0.07455,0.64599,0.01416,0
-0.074553,0.64792,0.014083,0
-0.074556,0.64987,0.014005,0
-0.07456,0.65181,0.013927,0
-0.074563,0.65377,0.013849,0
-0.074567,0.65573,0.013771,0
-0.07457,0.6577,0.013692,0
-0.074574,0.65968,0.013613,0
-0.074579,0.66166,0.013534,0
-0.074583,0.66365,0.013454,0
-0.074587,0.66564,0.013374,0
-0.074592,0.66764,0.013294,0
-0.074596,0.66965,0.013214,0
-0.074601,0.67166,0.013134,0
-0.074606,0.67368,0.013053,0
-0.07461,0.6757,0.012972,0
-0.074615,0.67773,0.012891,0
-0.074619,0.67977,0.012809,0
-0.074624,0.68181,0.012728,0
-0.074628,0.68385,0.012646,0
-0.074633,0.6859,0.012564,0
-0.074638,0.68796,0.012482,0
-0.074643,0.69002,0.012399,0
-0.074649,0.69208,0.012317,0
-0.074655,0.69415,0.012234,0
-0.074661,0.69622,0.012151,0
-0.074667,0.6983,0.012068,0
-0.074673,0.70038,0.011985,0
-0.074679,0.70246,0.011902,0
-0.074685,0.70455,0.011818,0
-0.07469,0.70664,0.011734,0
-0.074696,0.70873,0.011651,0
-0.074702,0.71083,0.011567,0
-0.074708,0.71293,0.011483,0
-0.074713,0.71503,0.011399,0
-0.074719,0.71714,0.011314,0
-0.074724,0.71925,0.01123,0
-0.07473,0.72136,0.011146,0
-0.074736,0.72347,0.011061,0
-0.074742,0.72559,0.010977,0
-0.074747,0.7277,0.010892,0
