"Pressure_Coefficient","Points:0","Points:1","Points:2"
0.68042,0,0,0
-0.013863,0.5,0.02,0
0.41125,1,0,0
0.036437,0.5,-0.02,0
0.16579,0.0025126,0.0001005,0
0.055329,0.0050251,0.00020101,0
0.023782,0.0075377,0.00030151,0
0.039759,0.01005,0.00040201,0
0.039355,0.012563,0.00050251,0
0.040973,0.015075,0.00060302,0
0.034847,0.017588,0.00070352,0
0.033181,0.020101,0.00080402,0
0.033844,0.022613,0.00090452,0
0.033715,0.025126,0.001005,0
0.030502,0.027638,0.0011055,0
0.031013,0.030151,0.001206,0
0.03117,0.032663,0.0013065,0
0.03108,0.035176,0.001407,0
0.031703,0.037688,0.0015075,0
0.033246,0.040201,0.001608,0
0.031873,0.042714,0.0017085,0
0.033376,0.045226,0.001809,0
0.033702,0.047739,0.0019095,0
0.031261,0.050251,0.0020101,0
0.033373,0.052764,0.0021106,0
0.033066,0.055276,0.0022111,0
0.034116,0.057789,0.0023116,0
0.033627,0.060302,0.0024121,0
0.03262,0.062814,0.0025126,0
0.031857,0.065327,0.0026131,0
0.032241,0.067839,0.0027136,0
0.032452,0.070352,0.0028141,0
0.030766,0.072864,0.0029146,0
0.032922,0.075377,0.0030151,0
0.032543,0.077889,0.0031156,0
0.033271,0.080402,0.0032161,0
0.031756,0.082915,0.0033166,0
0.032625,0.085427,0.0034171,0
0.032425,0.08794,0.0035176,0
0.034113,0.090452,0.0036181,0
0.034346,0.092965,0.0037186,0
0.034066,0.095477,0.0038191,0
0.033591,0.09799,0.0039196,0
0.03411,0.1005,0.0040201,0
0.03446,0.10302,0.0041206,0
0.033499,0.10553,0.0042211,0
0.034005,0.10804,0.0043216,0
0.034262,0.11055,0.0044221,0
0.033575,0.11307,0.0045226,0
0.033226,0.11558,0.0046231,0
0.033278,0.11809,0.0047236,0
0.033867,0.1206,0.0048241,0
0.034223,0.12312,0.0049246,0
0.032178,0.12563,0.0050251,0
0.033252,0.12814,0.0051256,0
0.033162,0.13065,0.0052261,0
0.033189,0.13317,0.0053266,0
0.032446,0.13568,0.0054271,0
0.032523,0.13819,0.0055276,0
0.031875,0.1407,0.0056281,0
0.031954,0.14322,0.0057286,0
0.031363,0.14573,0.0058291,0
0.033494,0.14824,0.0059296,0
0.032962,0.15075,0.0060302,0
0.032047,0.15327,0.0061307,0
0.032741,0.15578,0.0062312,0
0.032984,0.15829,0.0063317,0
0.032735,0.1608,0.0064322,0
0.033533,0.16332,0.0065327,0
0.034095,0.16583,0.0066332,0
0.033746,0.16834,0.0067337,0
0.033188,0.17085,0.0068342,0
0.033047,0.17337,0.0069347,0
0.033369,0.17588,0.0070352,0
0.034975,0.17839,0.0071357,0
0.033558,0.1809,0.0072362,0
0.033554,0.18342,0.0073367,0
0.033286,0.18593,0.0074372,0
0.03371,0.18844,0.0075377,0
0.034554,0.19095,0.0076382,0
0.033762,0.19347,0.0077387,0
0.034013,0.19598,0.0078392,0
0.033486,0.19849,0.0079397,0
0.032351,0.20101,0.0080402,0
0.03253,0.20352,0.0081407,0
0.033256,0.20603,0.0082412,0
