"Pressure_Coefficient","Points:0","Points:1","Points:2"
-0.28494,0.74848,1.1365,-0.020651
-0.28519,0.74522,1.1365,-0.020468
-0.28489,0.74372,1.1365,-0.020371
-0.28536,0.75401,1.1365,-0.020958
-0.2848,0.75661,1.1365,-0.021083
-0.28288,0.76271,1.1365,-0.021387
-0.28162,0.73648,1.1365,-0.019917
-0.11974,0.68473,1.1365,-0.014739
-0.11731,0.68416,1.1365,-0.014664
-0.11705,0.68324,1.1365,-0.01452
-0.12849,0.67536,1.1365,-0.013261
-0.15974,0.69437,1.1365,-0.016036
-0.11944,0.67395,1.1365,-0.012969
-0.25978,0.8237,1.1365,-0.023007
-0.26322,0.81574,1.1365,-0.022936
-0.2593,0.82483,1.1365,-0.023018
-0.24871,0.84455,1.1365,-0.022998
-0.2505,0.84168,1.1365,-0.023014
-0.17806,0.6977,1.1365,-0.016446
-0.21007,0.70366,1.1365,-0.017112
0.62094,0.65839,1.1365,-0.0056488
0.64818,0.65817,1.1365,-0.0053971
0.4797,0.65916,1.1365,-0.0065264
0.41444,0.65966,1.1365,-0.006993
0.6307,0.65766,1.1365,-0.0046495
0.61871,0.65736,1.1365,-0.0042099
0.33901,0.66029,1.1365,-0.0075757
0.64558,0.65725,1.1365,-0.0039833
0.7599,0.65679,1.1365,-0.0031027
0.13706,0.66337,1.1365,-0.009654
0.20361,0.66253,1.1365,-0.0091454
0.25302,0.6617,1.1365,-0.0086409
0.29483,0.66106,1.1365,-0.008156
0.049376,0.66448,1.1365,-0.010187
-0.0068834,0.6653,1.1365,-0.010579
-0.047455,0.66674,1.1365,-0.011114
0.70636,0.65652,1.1365,-0.0023406
0.69132,0.65641,1.1365,-0.0020354
-0.084786,0.66768,1.1365,-0.011463
-0.11986,0.66988,1.1365,-0.012078
0.6946,0.65634,1.1365,-0.0017211
0.69516,0.65619,1.1365,-0.00096762
-0.27851,0.73069,1.1365,-0.019502
-0.27705,0.72828,1.1365,-0.019336
-0.12423,0.67072,1.1365,-0.012314
-0.23606,0.87738,1.1365,0.022339
-0.23123,0.88153,1.1365,0.022204
-0.24159,0.8731,1.1365,0.022473
-1.2228,0.67432,1.1365,0.013061
-1.2199,0.67693,1.1365,0.013479
-1.2312,0.67331,1.1365,0.012878
-1.1056,0.75355,1.1365,0.020931
-0.94422,0.76119,1.1365,0.021315
-0.24905,0.86519,1.1365,0.022679
-0.24403,0.8702,1.1365,0.022547
-1.2032,0.68779,1.1365,0.015175
-1.1817,0.69109,1.1365,0.015623
-1.2233,0.68263,1.1365,0.014427
-0.25468,0.85707,1.1365,0.022841
-0.25466,0.85733,1.1365,0.022838
-0.25259,0.84482,1.1365,0.022987
-0.25419,0.84928,1.1365,0.022953
-1.1356,0.74349,1.1365,0.020363
-1.1367,0.75181,1.1365,0.020838
-1.136,0.75239,1.1365,0.020872
-1.1305,0.73885,1.1365,0.02006
-1.1164,0.73383,1.1365,0.019738
-0.25436,0.85778,1.1365,0.022829
-1.1483,0.69574,1.1365,0.016196
-1.1272,0.6982,1.1365,0.016502
-1.128,0.66919,1.1365,0.011917
-1.1739,0.67099,1.1365,0.012334
-0.034567,0.65861,1.1365,0.0059365
-0.16721,0.65949,1.1365,0.0068382
0.031682,0.65832,1.1365,0.0055742
0.15533,0.65786,1.1365,0.0049791
-0.19878,0.65975,1.1365,0.0071073
-0.35926,0.66093,1.1365,0.0080851
-0.37566,0.661,1.1365,0.0081459
0.7291,1.1283,1.1365,0.00017838
0.2501,1.1298,1.1365,-2.3008e-09
1.0278,1.1271,1.1365,0.00033212
1.0669,1.1271,1.1365,-0.00033212
0.46742,1.1207,1.1365,-0.0011239
0.31337,1.1194,1.1365,-0.0012863
